,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Away,ARI,W,17-18,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,NYG,W,25-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Home,SF,W,14-23,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2014,5,Away,DEN,L,20-41,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,6,Home,WAS,W,20-30,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014,7,Away,OAK,W,24-13,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014,8,Home,PHI,W,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,9,Away,DAL,W,28-17,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,10,Away,ARI,W,14-31,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,ARI,W,6-14,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,SEA,L,3-19,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Away,ATL,L,18-29,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Home,KC,W,14-17,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2014,15,Away,STL,W,12-6,1,4,6,6,6,0,0,0,0,0,0,0,0
14,2014,16,Home,SEA,L,35-6,2,2,26,13,15,0,0,0,0,0,0,0,0
15,2014,17,Away,SF,L,17-20,2,3,39,19.5,24,0,0,0,0,0,0,0,0
0,2015,1,Home,NO,W,19-31,4,5,82,20.5,48,1,0,0,0,0,0,0,0
1,2015,2,Away,CHI,W,48-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Home,SF,W,7-47,1,2,13,13,13,0,0,0,0,0,0,0,0
3,2015,4,Home,STL,L,24-22,1,1,17,17,17,0,0,0,0,0,0,0,0
4,2015,5,Away,DET,W,42-17,2,2,25,12.5,14,1,0,0,0,0,0,0,0
5,2015,6,Away,PIT,L,13-25,1,2,9,9,9,0,0,0,0,0,0,0,0
6,2015,7,Away,ARI,W,18-26,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,8,Away,CLE,W,34-20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,10,Away,SEA,W,39-32,3,4,21,7,9,0,0,0,0,0,0,0,0
9,2015,11,Home,CIN,W,31-34,1,2,18,18,18,1,0,0,0,0,0,0,0
10,2015,12,Away,SF,W,19-13,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,13,Away,STL,W,27-3,1,1,22,22,22,0,0,0,0,0,0,0,0
12,2015,14,Home,MIN,W,20-23,3,4,43,14.3,26,0,0,0,0,0,0,0,0
13,2015,15,Away,PHI,W,40-17,3,3,54,18,36,0,0,0,0,0,0,0,0
14,2015,16,Home,GB,W,8-38,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2015,17,Home,SEA,L,36-6,1,2,7,7,7,0,0,0,0,0,0,0,0
0,2016,1,Home,NE,L,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Home,TB,W,7-40,4,5,31,7.8,11,0,0,0,0,0,0,0,0
2,2016,3,Away,BUF,L,18-33,2,2,15,7.5,8,0,0,0,0,0,0,0,0
3,2016,4,Home,LAR,L,17-13,2,2,7,3.5,5,0,0,0,0,0,0,0,0
4,2016,5,Away,SF,W,33-21,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Home,NYJ,W,3-28,1,1,8,8,8,0,0,0,0,0,0,0,0
6,2016,7,Home,SEA,T,6-6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,8,Away,CAR,L,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Home,SF,W,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Away,MIN,L,24-30,1,1,22,22,22,0,0,0,0,0,0,0,0
10,2016,12,Away,ATL,L,19-38,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Home,WAS,W,23-31,1,1,9,9,9,0,0,0,0,0,0,0,0
12,2016,14,Away,MIA,L,23-26,1,3,12,12,12,0,0,0,0,0,0,0,0
13,2016,15,Home,NO,L,48-41,1,1,13,13,13,0,0,0,0,0,0,0,0
14,2016,16,Away,SEA,W,34-31,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Away,LAR,W,44-6,1,2,37,37,37,1,0,0,0,0,0,0,0
0,2017,1,Home,ARI,W,23-35,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,NYG,W,24-10,1,1,3,3,3,0,0,0,0,0,0,0,0
2,2017,3,Home,ATL,L,30-26,1,1,8,8,8,0,0,0,0,0,0,0,0
3,2017,4,Away,MIN,W,14-7,4,5,40,10,10,0,0,0,0,0,0,0,0
4,2017,5,Home,CAR,L,27-24,2,2,24,12,20,2,0,0,0,0,0,0,0
5,2017,6,Away,NO,L,38-52,2,4,26,13,22,1,0,0,0,0,0,0,0
6,2017,8,Home,PIT,L,20-15,1,3,12,12,12,0,0,0,0,0,0,0,0
7,2017,9,Away,GB,W,30-17,1,1,10,10,10,0,0,0,0,0,0,0,0
8,2017,10,Home,CLE,W,24-38,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,CHI,W,27-24,1,1,9,9,9,0,0,0,0,0,0,0,0
10,2017,12,Home,MIN,L,30-23,0,3,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Away,BAL,L,20-44,2,2,10,5,8,0,0,0,0,0,0,0,0
12,2017,14,Away,TB,W,24-21,1,1,23,23,23,0,0,0,0,0,0,0,0
13,2017,15,Home,CHI,W,10-20,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,CIN,L,17-26,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,GB,W,11-35,1,1,12,12,12,0,0,0,0,0,0,0,0
0,2018,1,Home,PIT,T,21-21,1,1,12,12,12,0,0,0,0,0,0,0,0
1,2018,2,Away,NO,L,18-21,2,2,15,7.5,9,0,0,0,0,0,0,0,0
2,2018,3,Home,NYJ,W,17-21,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,OAK,L,42-45,1,2,49,49,49,1,0,0,0,0,0,0,0
4,2018,5,Home,BAL,W,9-12,1,1,8,8,8,0,0,0,0,0,0,0,0
5,2018,6,Home,LAC,L,38-14,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,TB,L,23-26,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,PIT,L,18-33,1,1,6,6,6,0,0,0,0,0,0,0,0
8,2018,9,Home,KC,L,37-21,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,10,Home,ATL,W,16-28,0,0,0,0,0,0,0,0,0,0,0,0,0
