,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,SF,W,28-34,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,SEA,L,3-29,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,SF,L,27-7,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,STL,W,35-11,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,SF,W,3-34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,6,Away,SF,W,20-32,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,7,Away,TEN,W,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,8,Away,JAC,W,42-10,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,10,Away,SF,L,10-9,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,NO,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,12,Away,WAS,W,27-6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,13,Home,STL,W,13-23,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,14,Home,SEA,W,17-19,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2013,15,Away,TB,W,33-14,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,16,Away,SF,W,24-34,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,ARI,W,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,DAL,W,28-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Home,CHI,L,28-20,3,4,41,13.7,22,0,0,0,0,0,0,0,0
2,2014,3,Away,ARI,L,14-23,1,2,23,23,23,0,0,0,0,0,0,0,0
3,2014,4,Home,PHI,W,21-26,1,2,10,10,10,0,0,0,0,0,0,0,0
4,2014,5,Home,KC,W,17-22,2,2,16,8,10,0,0,0,0,0,0,1,0
5,2014,6,Away,STL,W,31-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014,7,Away,DEN,L,17-42,1,3,9,9,9,0,1,2,2,2,0,0,0
7,2014,9,Home,STL,L,13-10,1,1,6,6,6,0,0,0,0,0,0,0,0
8,2014,10,Away,NO,W,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,11,Away,NYG,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,12,Home,WAS,W,13-17,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Away,SF,L,19-3,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,OAK,L,13-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,SEA,L,7-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Away,SF,L,38-35,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Away,SF,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Home,MIA,L,17-10,2,2,8,4,9,0,0,0,0,0,0,0,0
1,2015,2,Home,STL,W,10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,NYG,L,21-32,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Home,PHI,W,20-23,2,2,18,9,15,0,0,0,0,0,0,0,0
4,2015,5,Away,ATL,L,19-25,2,3,27,13.5,20,1,0,0,0,0,0,0,0
5,2015,6,Away,NYJ,L,20-34,4,4,39,9.8,20,0,0,0,0,0,0,0,0
6,2015,7,Home,TB,W,30-31,2,2,15,7.5,9,0,0,0,0,0,0,0,0
7,2015,9,Away,NE,L,10-27,0,2,0,0,0,0,0,0,0,0,0,0,0
8,2015,10,Home,NO,W,14-47,1,1,14,14,14,0,0,0,0,0,0,0,0
9,2015,11,Away,CAR,L,16-44,2,3,7,3.5,5,0,0,0,0,0,0,0,0
10,2015,12,Home,NYG,W,14-20,1,1,6,6,6,0,0,0,0,0,0,0,0
11,2015,13,Away,WAS,L,19-16,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,CHI,W,24-21,1,1,7,7,7,0,0,0,0,0,0,0,0
13,2015,15,Away,WAS,W,25-35,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,PHI,W,38-24,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,DAL,W,34-23,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Away,WAS,L,38-16,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,WAS,L,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,NYG,W,29-27,-,-,-,-,-,-,-,-,-,-,-,-,-
