,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Home,NYG,W,14-35,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Away,CAR,L,7-24,3,5,38,12.7,17,0,0,0,0,0,0,0,0
2,2014,3,Home,GB,W,7-19,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2014,4,Away,NYJ,W,24-17,3,4,34,11.3,16,1,0,0,0,0,0,0,0
4,2014,5,Home,BUF,L,17-14,2,4,8,4,5,0,0,0,0,0,0,0,0
5,2014,6,Away,MIN,W,17-3,2,4,23,11.5,12,0,0,0,0,0,0,0,0
6,2014,7,Away,DET,W,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,8,Away,ATL,W,22-21,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,10,Away,DET,W,16-20,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,ARI,L,6-14,4,4,22,5.5,8,0,0,0,0,0,0,0,0
10,2014,12,Away,NE,L,9-34,2,7,23,11.5,17,0,0,0,0,0,0,0,0
11,2014,13,Home,CHI,W,17-34,3,4,23,7.7,13,0,0,0,0,0,0,0,0
12,2014,14,Home,TB,W,17-34,3,4,28,9.3,12,0,0,0,0,0,0,0,0
13,2014,15,Home,MIN,W,14-16,1,2,11,11,11,0,0,0,0,0,0,0,0
14,2014,16,Away,CHI,W,20-14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Away,GB,L,20-30,2,6,38,19,22,0,0,0,0,0,0,0,0
0,2015,1,Away,SD,L,28-33,4,5,53,13.3,18,1,0,0,0,0,0,0,0
1,2015,2,Away,MIN,L,16-26,5,10,43,8.6,16,1,0,0,0,0,0,0,0
2,2015,3,Home,DEN,L,24-12,4,5,61,15.3,29,0,0,0,0,0,0,0,0
3,2015,4,Away,SEA,L,10-13,2,3,22,11,19,0,0,0,0,0,0,0,0
4,2015,5,Away,DET,L,42-17,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,DET,W,34-37,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Home,MIN,L,28-19,5,5,89,17.8,55,1,0,0,0,0,0,0,0
7,2015,8,Away,KC,L,10-45,3,5,24,8,14,0,0,0,0,0,0,0,0
8,2015,10,Away,GB,W,18-16,4,8,28,7,13,0,0,0,0,0,0,0,0
9,2015,11,Home,OAK,W,13-18,0,2,0,0,0,0,0,0,0,0,0,0,0
10,2015,12,Home,PHI,W,14-45,2,3,28,14,19,0,0,0,0,0,0,0,0
11,2015,13,Home,GB,L,27-23,2,2,9,4.5,6,1,0,0,0,0,0,0,0
12,2015,14,Away,STL,L,14-21,3,5,27,9,11,0,0,0,0,0,0,0,0
13,2015,15,Away,NO,W,35-27,4,5,79,19.8,45,0,0,0,0,0,0,0,0
14,2015,16,Home,SF,W,17-32,4,5,49,12.3,20,0,0,0,0,0,0,0,0
15,2015,17,Away,CHI,W,24-20,5,7,25,5,8,1,0,0,0,0,0,0,0
0,2016,1,Away,IND,W,39-35,5,5,46,9.2,13,1,0,0,0,0,0,0,0
1,2016,2,Home,TEN,L,16-15,4,7,53,13.3,29,0,0,0,0,0,0,0,0
2,2016,3,Away,GB,L,27-34,5,8,69,13.8,21,0,0,0,0,0,0,0,0
3,2016,4,Away,CHI,L,14-17,4,5,42,10.5,13,0,0,0,0,0,0,0,0
4,2016,5,Away,DET,W,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,DET,W,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,DET,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,HOU,L,13-20,7,10,79,11.3,34,0,0,0,0,0,0,0,0
8,2016,9,Away,MIN,W,22-16,7,8,92,13.1,23,0,0,0,0,0,0,0,0
9,2016,11,Home,JAC,W,19-26,3,5,70,23.3,61,0,1,1,1,1,1,0,0
10,2016,12,Home,MIN,W,13-16,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Away,NO,W,28-13,4,6,38,9.5,12,0,0,0,0,0,0,0,0
12,2016,14,Home,CHI,W,17-20,4,5,32,8,14,0,0,0,0,0,0,0,0
