,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,6,Away,MIA,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,7,Home,SF,W,9-0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,8,Away,MIN,W,9-19,1,1,13,13,13,0,0,0,0,0,0,0,0
3,2019,9,Away,BUF,W,9-24,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,11,Home,NYJ,W,34-17,1,3,0,0,0,0,0,0,0,0,0,0,0
5,2019,12,Home,DET,W,16-19,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,13,Away,CAR,W,29-21,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2019,14,Away,GB,W,15-20,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,15,Home,PHI,W,37-27,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,16,Home,NYG,W,41-35,2,2,28,14,22,1,0,0,0,0,0,0,0
10,2019,17,Away,DAL,W,16-47,4,7,62,15.5,24,0,0,0,0,0,0,0,0
