,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,BAL,W,3-47,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,CIN,L,23-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,BAL,W,14-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,PIT,W,26-14,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,CLE,L,9-12,1,2,7,7,7,0,0,0,0,0,0,0,0
5,2018,6,Away,TEN,W,21-0,0,1,0,0,0,0,1,0,0,0,0,0,0
6,2018,7,Home,NO,L,24-23,0,2,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,CAR,L,21-36,2,3,29,14.5,26,1,0,0,0,0,0,0,0
8,2018,9,Home,PIT,L,23-16,1,2,21,21,21,0,0,0,0,0,0,0,0
9,2018,11,Home,CIN,W,21-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,OAK,W,17-34,3,4,25,8.3,11,0,0,0,0,0,0,0,0
11,2018,13,Away,ATL,W,26-16,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,KC,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,TB,W,12-20,3,3,20,6.7,8,0,0,0,0,0,0,0,0
14,2018,16,Away,LAC,W,22-10,1,2,18,18,18,0,0,0,0,0,0,0,0
15,2018,17,Home,CLE,W,24-26,2,4,43,21.5,32,0,0,0,0,0,0,0,0
0,2019,1,Away,MIA,W,59-10,3,3,41,13.7,23,0,0,0,0,0,0,0,0
1,2019,2,Home,ARI,W,17-23,1,1,1,1,1,1,0,0,0,0,0,0,0
2,2019,3,Away,KC,L,28-33,2,5,14,7,11,0,0,0,0,0,0,0,0
3,2019,4,Home,CLE,L,40-25,2,2,39,19.5,29,0,0,0,0,0,0,0,0
4,2019,5,Away,PIT,W,26-23,4,4,32,8,13,0,0,0,0,0,0,0,0
5,2019,6,Home,CIN,W,17-23,1,1,4,4,4,0,0,0,0,0,0,0,0
6,2019,7,Away,SEA,W,30-16,1,2,10,10,10,0,0,0,0,0,0,0,0
7,2019,9,Home,NE,W,20-37,2,2,15,7.5,8,0,0,0,0,0,0,0,0
8,2019,10,Away,CIN,W,49-13,2,2,20,10,14,0,0,0,0,0,0,0,0
9,2019,11,Home,HOU,W,7-41,2,2,16,8,12,0,0,0,0,0,0,0,0
10,2019,12,Away,LAR,W,45-6,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,SF,W,17-20,3,4,21,7,10,0,0,0,0,0,0,0,0
12,2019,14,Away,BUF,W,24-17,3,3,73,24.3,61,1,0,0,0,0,0,0,0
13,2019,15,Home,NYJ,W,21-42,1,2,19,19,19,0,0,0,0,0,0,0,0
14,2019,16,Away,CLE,W,31-15,1,3,9,9,9,0,0,0,0,0,0,0,0
15,2019,17,Home,PIT,W,10-28,2,2,35,17.5,20,0,0,0,0,0,0,0,0
