,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,DAL,W,8-16,2,2,4,2,7,0,0,0,0,0,0,0,0
1,2018,2,Away,ATL,L,24-31,2,3,10,5,8,0,0,0,0,0,0,0,0
2,2018,3,Home,CIN,W,21-31,3,5,20,6.7,18,0,0,0,0,0,0,0,0
3,2018,5,Home,NYG,W,31-33,3,6,38,12.7,27,0,0,0,0,0,0,0,0
4,2018,6,Away,WAS,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,7,Away,PHI,W,21-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,8,Home,BAL,W,21-36,1,1,15,15,15,0,0,0,0,0,0,0,0
7,2018,9,Home,TB,W,28-42,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Away,PIT,L,21-52,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,DET,L,19-20,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,SEA,L,30-27,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,TB,L,17-24,5,5,46,9.2,20,0,0,0,0,0,0,0,0
12,2018,14,Away,CLE,L,20-26,9,11,77,8.6,16,0,0,0,0,0,0,0,0
13,2018,15,Home,NO,L,12-9,2,4,14,7,8,0,0,0,0,0,0,0,0
14,2018,16,Home,ATL,L,24-10,4,5,48,12,27,1,0,0,0,0,0,0,0
15,2018,17,Away,NO,W,33-14,5,7,61,12.2,31,1,0,0,0,0,0,0,0
0,2019,1,Home,LAR,L,30-27,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,TB,L,20-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,ARI,W,38-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,HOU,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,JAC,W,27-34,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,TB,W,37-26,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Away,SF,L,13-51,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Home,TEN,W,20-30,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,GB,L,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,ATL,L,29-3,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,NO,L,31-34,1,2,4,4,4,0,0,0,0,0,0,0,0
11,2019,13,Home,WAS,L,29-21,4,4,24,6,13,0,0,0,0,0,0,0,0
12,2019,14,Away,ATL,L,20-40,5,10,57,11.4,19,1,0,0,0,0,0,0,0
13,2019,15,Home,SEA,L,30-24,2,3,23,11.5,12,0,0,0,0,0,0,0,0
14,2019,16,Away,IND,L,6-38,3,3,16,5.3,7,0,0,0,0,0,0,0,0
15,2019,17,Home,NO,L,42-10,1,5,12,12,12,0,0,0,0,0,0,0,0
