,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,ATL,W,12-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,GB,L,16-21,1,2,-1,-1,-1,0,0,0,0,0,0,0,0
2,2019,3,Home,OAK,W,14-34,3,3,60,20,26,0,0,0,0,0,0,0,0
3,2019,4,Away,CHI,L,6-16,1,1,5,5,5,0,0,0,0,0,0,0,0
4,2019,5,Away,NYG,W,28-10,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,PHI,W,20-38,2,2,29,14.5,29,0,0,0,0,0,0,0,0
6,2019,7,Away,DET,W,42-30,5,6,60,12,28,0,0,0,0,0,0,1,0
7,2019,8,Home,WAS,W,9-19,3,3,21,7,11,0,0,0,0,0,0,0,0
8,2019,9,Away,KC,L,23-26,4,6,33,8.3,21,0,0,0,0,0,0,0,0
9,2019,10,Away,DAL,W,28-24,5,6,34,6.8,9,0,0,0,0,0,0,0,0
10,2019,11,Home,DEN,W,23-27,3,3,20,6.7,10,1,0,0,0,0,0,0,0
11,2019,13,Away,SEA,L,30-37,1,3,6,6,6,0,0,0,0,0,0,0,0
12,2019,14,Home,DET,W,7-20,3,4,21,7,13,0,0,0,0,0,0,0,0
13,2019,15,Away,LAC,W,39-10,2,3,8,4,7,1,0,0,0,0,0,0,0
14,2019,16,Home,GB,L,23-10,2,3,4,2,5,0,0,0,0,0,0,0,0
15,2019,17,Home,CHI,L,21-19,1,2,11,11,11,0,0,0,0,0,0,0,0
