,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,NE,L,42-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,NO,W,36-20,1,2,5,5,5,0,0,0,0,0,0,0,0
2,2017,3,Home,HOU,W,33-36,1,1,19,19,19,0,0,0,0,0,0,0,0
3,2017,4,Home,CAR,L,33-30,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Away,TB,W,19-14,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,NYJ,W,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,ATL,W,7-23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Home,LAC,W,13-21,1,1,13,13,13,0,0,0,0,0,0,0,0
8,2017,10,Away,DEN,W,41-16,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,OAK,W,33-8,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Home,MIA,W,17-35,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Away,BUF,W,23-3,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,MIA,L,20-27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,PIT,W,27-24,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Home,BUF,W,16-37,1,2,5,5,5,0,1,5,5,5,0,0,0
15,2017,17,Home,NYJ,W,6-26,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Away,NE,W,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,JAC,L,20-31,3,3,35,11.7,23,0,0,0,0,0,0,0,0
2,2018,3,Away,DET,L,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,NE,W,7-38,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Home,IND,W,24-38,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Home,KC,W,40-43,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,CHI,W,38-31,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Away,BUF,W,25-6,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Away,NE,W,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,10,Away,TEN,L,10-34,1,2,17,17,17,0,0,0,0,0,0,0,0
10,2018,12,Away,NYJ,W,27-13,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Home,MIN,W,10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,MIA,L,33-34,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,PIT,L,10-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Home,BUF,W,12-24,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,NE,W,3-38,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Home,CIN,W,20-21,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,PIT,W,28-26,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,NO,L,33-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,ARI,W,27-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,LAR,W,29-30,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,CLE,W,32-28,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Home,BAL,L,30-16,3,6,20,6.7,9,0,0,0,0,0,0,0,0
7,2019,8,Away,ATL,W,27-20,2,2,18,9,12,0,0,0,0,0,0,0,0
8,2019,9,Home,TB,W,34-40,4,6,37,9.3,22,2,0,0,0,0,0,0,0
9,2019,10,Away,SF,W,27-24,8,10,62,7.8,13,1,0,0,0,0,0,0,0
10,2019,12,Away,PHI,W,17-9,2,4,22,11,21,0,0,0,0,0,0,0,0
11,2019,13,Home,MIN,W,30-37,6,8,44,7.3,16,0,0,0,0,0,0,0,0
12,2019,14,Away,LAR,L,12-28,4,6,34,8.5,19,0,0,0,0,0,0,0,0
13,2019,15,Away,CAR,W,30-24,3,3,23,7.7,8,0,0,0,0,0,0,0,0
14,2019,16,Home,ARI,L,27-13,5,6,64,12.8,20,0,0,0,0,0,0,0,0
15,2019,17,Home,SF,L,26-21,4,8,25,6.3,9,0,0,0,0,0,0,0,0
