,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,MIN,L,12-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,PHI,W,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,IND,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,TEN,L,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,HOU,L,32-53,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,ARI,L,33-34,1,1,21,21,21,0,0,0,0,0,0,0,0
6,2019,7,Home,LAR,L,37-10,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Home,SEA,L,27-20,1,1,11,11,11,0,0,0,0,0,0,0,0
8,2019,10,Away,NO,W,26-9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,CAR,W,29-3,2,2,23,11.5,12,0,0,0,0,0,0,0,0
10,2019,12,Home,TB,L,35-22,1,2,53,53,53,0,0,0,0,0,0,0,0
11,2019,13,Home,NO,L,26-18,4,4,41,10.3,23,1,0,0,0,0,0,0,0
12,2019,14,Home,CAR,W,20-40,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,SF,W,29-22,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,JAC,W,12-24,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,TB,W,28-22,0,0,0,0,0,0,0,0,0,0,0,0,0
