,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,ATL,W,17-23,4,7,45,11.3,21,1,0,0,0,0,0,0,0
1,2013,2,Away,TB,W,16-14,10,16,179,17.9,56,1,0,0,0,0,0,0,0
2,2013,3,Home,ARI,W,7-31,9,15,134,14.9,29,2,0,0,0,0,0,0,0
3,2013,4,Home,MIA,W,17-38,4,4,100,25,43,2,0,0,0,0,0,0,0
4,2013,5,Away,CHI,W,26-18,10,11,135,13.5,38,0,0,0,0,0,0,0,0
5,2013,6,Away,NE,L,27-30,0,6,0,0,0,0,0,0,0,0,0,0,0
6,2013,8,Home,BUF,W,17-35,3,3,37,12.3,15,2,0,0,0,0,0,0,0
7,2013,9,Away,NYJ,L,20-26,9,12,116,12.9,51,2,0,0,0,0,0,0,0
8,2013,10,Home,DAL,W,17-49,5,5,59,11.8,26,0,0,0,0,0,0,0,0
9,2013,11,Home,SF,W,20-23,6,12,41,6.8,13,0,0,0,0,0,0,0,0
10,2013,12,Away,ATL,W,17-13,5,7,100,20,44,1,0,0,0,0,0,0,0
11,2013,13,Away,SEA,L,7-34,3,9,42,14,20,1,0,0,0,0,0,0,0
12,2013,14,Home,CAR,W,13-31,6,11,58,9.7,22,2,0,0,0,0,0,0,0
13,2013,15,Away,STL,L,16-27,2,6,25,12.5,13,0,0,0,0,0,0,0,0
14,2013,16,Away,CAR,L,13-17,5,11,73,14.6,46,1,0,0,0,0,0,0,0
15,2013,17,Home,TB,W,17-42,5,8,71,14.2,33,1,0,0,0,0,0,0,0
0,2014,1,Away,ATL,L,34-37,8,10,82,10.3,17,0,0,0,0,0,0,0,0
1,2014,2,Away,CLE,L,24-26,10,13,118,11.8,23,2,0,0,0,0,0,0,0
2,2014,3,Home,MIN,W,9-20,6,8,54,9,15,0,0,0,0,0,0,0,0
3,2014,4,Away,DAL,L,17-38,8,10,86,10.8,17,1,0,0,0,0,0,1,1
4,2014,5,Home,TB,W,31-37,2,5,36,18,23,0,0,0,0,0,0,0,0
5,2014,7,Away,DET,L,23-24,0,2,0,0,0,0,0,0,0,0,0,0,0
6,2014,8,Home,GB,W,23-44,5,6,59,11.8,22,1,0,0,0,0,0,0,0
7,2014,9,Away,CAR,W,28-10,7,7,83,11.9,27,1,0,0,0,0,0,0,0
8,2014,10,Home,SF,L,27-24,10,13,76,7.6,15,2,0,0,0,0,0,0,0
9,2014,11,Home,CIN,L,27-10,3,3,29,9.7,13,0,0,0,0,0,0,0,0
10,2014,12,Home,BAL,L,34-27,6,10,47,7.8,11,2,0,0,0,0,0,0,0
11,2014,13,Away,PIT,W,35-32,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Home,CAR,L,41-10,3,11,25,8.3,10,0,0,0,0,0,0,0,0
13,2014,15,Away,CHI,W,31-15,5,7,87,17.4,29,0,0,0,0,0,0,0,0
14,2014,16,Home,ATL,L,30-14,6,10,53,8.8,15,1,0,0,0,0,0,1,1
15,2014,17,Away,TB,W,23-20,6,9,54,9,14,0,0,0,0,0,0,0,0
0,2015,1,Away,STL,L,31-34,6,8,51,8.5,19,1,0,0,0,0,0,0,0
1,2015,2,Away,GB,L,17-27,1,2,11,11,11,0,0,0,0,0,0,0,0
2,2015,3,Home,CHI,W,0-26,7,8,83,11.9,30,1,0,0,0,0,0,0,0
3,2015,4,Home,DET,W,10-13,4,5,29,7.3,13,0,0,0,0,0,0,0,0
4,2015,5,Away,CIN,L,24-27,3,5,30,10,22,0,0,0,0,0,0,0,0
5,2015,6,Home,CAR,L,27-23,8,12,140,17.5,45,0,0,0,0,0,0,0,0
6,2015,7,Away,SF,W,20-3,2,5,31,15.5,23,0,0,0,0,0,0,0,0
7,2015,8,Away,DAL,W,13-12,7,10,75,10.7,19,0,0,0,0,0,0,0,0
8,2015,10,Home,ARI,L,39-32,3,8,41,13.7,30,0,0,0,0,0,0,0,0
9,2015,11,Home,SF,W,13-29,3,3,39,13,20,0,0,0,0,0,0,0,0
10,2015,12,Home,PIT,W,30-39,4,8,75,18.8,36,0,0,0,0,0,0,0,0
11,2015,13,Away,MIN,W,38-7,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,BAL,W,35-6,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,SEA,W,13-30,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,SEA,L,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,ARI,W,36-6,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Home,MIA,W,10-12,1,1,11,11,11,0,0,0,0,0,0,0,0
1,2016,2,Away,LAR,L,3-9,3,4,42,14,17,0,0,0,0,0,0,0,0
2,2016,3,Home,SF,W,18-37,6,9,100,16.7,40,1,0,0,0,0,0,1,1
3,2016,4,Away,NYJ,W,27-17,6,8,113,18.8,27,0,0,0,0,0,0,0,0
4,2016,6,Home,ATL,W,24-26,6,9,89,14.8,25,0,0,0,0,0,0,0,0
5,2016,7,Away,ARI,T,6-6,5,10,53,10.6,14,0,0,0,0,0,0,0,0
6,2016,8,Away,NO,L,20-25,3,5,34,11.3,15,0,0,0,0,0,0,0,0
7,2016,9,Home,BUF,W,25-31,8,8,103,12.9,18,2,0,0,0,0,0,0,0
8,2016,10,Away,NE,W,31-24,4,4,48,12,19,0,0,0,0,0,0,0,0
9,2016,11,Home,PHI,W,15-26,3,5,46,15.3,35,1,0,0,0,0,0,0,0
10,2016,12,Away,TB,L,5-14,6,7,67,11.2,21,0,0,0,0,0,0,1,1
11,2016,13,Home,CAR,W,7-40,6,9,63,10.5,18,1,0,0,0,0,0,0,0
12,2016,14,Away,GB,L,10-38,1,4,16,16,16,0,0,0,0,0,0,0,0
13,2016,15,Home,LAR,W,3-24,1,2,31,31,31,0,1,0,0,0,0,0,0
14,2016,16,Home,ARI,L,34-31,2,3,43,21.5,37,1,0,0,0,0,0,0,0
15,2016,17,Away,SF,W,25-23,4,7,64,16,42,0,0,0,0,0,0,0,0
0,2017,1,Away,GB,L,9-17,3,8,8,2.7,6,0,0,0,0,0,0,0,0
1,2017,2,Home,SF,W,9-12,1,2,1,1,1,0,0,0,0,0,0,0,0
2,2017,3,Away,TEN,L,27-33,7,11,72,10.3,26,0,0,0,0,0,0,0,0
3,2017,4,Home,IND,W,18-46,4,6,61,15.3,33,0,0,0,0,0,0,0,0
4,2017,5,Away,LAR,W,16-10,6,8,37,6.2,9,1,0,0,0,0,0,0,0
5,2017,7,Away,NYG,W,24-7,3,6,51,17,29,1,0,0,0,0,0,0,0
6,2017,8,Home,HOU,W,38-41,4,5,39,9.8,18,2,0,0,0,0,0,0,0
7,2017,9,Home,WAS,L,17-14,5,8,59,11.8,21,0,0,0,0,0,0,0,0
8,2017,10,Away,ARI,W,22-16,6,9,27,4.5,6,2,0,0,0,0,0,0,0
9,2017,11,Home,ATL,L,34-31,7,11,58,8.3,12,1,0,0,0,0,0,0,0
10,2017,12,Away,SF,W,24-13,3,6,34,11.3,25,1,0,0,0,0,0,0,0
11,2017,13,Home,PHI,W,10-24,3,4,26,8.7,11,1,0,0,0,0,0,0,0
12,2017,14,Away,JAC,L,24-30,0,2,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Home,LAR,L,42-7,1,3,-1,-1,-1,0,0,0,0,0,0,0,0
14,2017,16,Away,DAL,W,21-12,1,1,3,3,3,1,0,0,0,0,0,0,0
15,2017,17,Home,ARI,L,26-24,3,6,45,15,21,0,0,0,0,0,0,0,0
