,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,NE,L,20-27,2,2,11,5.5,8,0,0,0,0,0,0,0,0
1,2018,2,Away,TEN,L,17-20,2,2,21,10.5,13,0,0,0,0,0,0,0,0
2,2018,3,Home,NYG,L,27-22,1,1,18,18,18,0,0,0,0,0,0,0,0
3,2018,4,Away,IND,W,37-34,2,3,24,12,14,0,0,0,0,0,0,0,0
4,2018,5,Home,DAL,W,16-19,1,2,9,9,9,0,0,0,0,0,0,0,0
5,2018,6,Home,BUF,W,13-20,1,1,6,6,6,0,0,0,0,0,0,0,0
6,2018,7,Away,JAC,W,20-7,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Home,MIA,W,23-42,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,9,Away,DEN,W,19-17,0,3,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,WAS,W,23-21,2,2,42,21,28,0,0,0,0,0,0,0,0
10,2018,12,Home,TEN,W,17-34,1,1,8,8,8,0,0,0,0,0,0,0,0
11,2018,13,Home,CLE,W,13-29,1,1,13,13,13,0,0,0,0,0,0,0,0
12,2018,14,Home,IND,L,24-21,2,2,40,20,27,0,0,0,0,0,0,0,0
13,2018,15,Away,NYJ,W,29-22,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,PHI,L,30-32,2,3,33,16.5,22,0,0,0,0,0,0,0,0
15,2018,17,Home,JAC,W,3-20,0,2,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,NO,L,28-30,1,2,17,17,17,0,0,0,0,0,0,0,0
1,2019,2,Home,JAC,W,12-13,2,3,25,12.5,16,0,0,0,0,0,0,0,0
2,2019,3,Away,LAC,W,27-20,3,5,73,24.3,53,2,0,0,0,0,0,0,0
3,2019,4,Home,CAR,L,16-10,3,4,21,7,10,0,0,0,0,0,0,0,0
4,2019,5,Home,ATL,W,32-53,1,1,21,21,21,0,0,0,0,0,0,0,0
5,2019,6,Away,KC,W,31-24,3,3,39,13,23,0,0,0,0,0,0,0,0
6,2019,7,Away,IND,L,23-30,2,2,17,8.5,11,0,0,0,0,0,0,0,0
7,2019,8,Home,OAK,W,24-27,2,5,11,5.5,7,0,0,0,0,0,0,0,0
8,2019,9,Away,JAC,W,26-3,3,3,24,8,12,0,0,0,0,0,0,0,0
9,2019,11,Away,BAL,L,7-41,1,2,15,15,15,0,0,0,0,0,0,0,0
10,2019,12,Home,IND,W,17-20,3,4,26,8.7,13,0,0,0,0,0,0,0,0
11,2019,13,Home,NE,W,22-28,1,1,19,19,19,0,0,0,0,0,0,0,0
12,2019,14,Home,DEN,L,38-24,4,9,49,12.3,15,0,0,0,0,0,0,0,0
13,2019,15,Away,TEN,W,24-21,2,2,7,3.5,5,0,0,0,0,0,0,0,0
14,2019,16,Away,TB,W,23-20,0,2,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Home,TEN,L,35-14,5,7,54,10.8,20,0,0,0,0,0,0,0,0
