,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,ATL,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,OAK,W,35-28,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,NO,W,45-32,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,ATL,W,33-48,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,DEN,W,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,SEA,L,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,ATL,L,33-30,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,ATL,W,32-33,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,9,Away,TB,W,43-28,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2016,10,Away,PHI,L,15-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Home,ARI,W,19-38,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Home,KC,L,29-28,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Away,LAR,W,42-14,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Home,SF,W,13-41,1,1,8,8,8,0,0,0,0,0,0,0,0
14,2016,16,Away,CAR,W,33-16,2,3,34,17,26,1,0,0,0,0,0,0,0
15,2016,17,Home,NO,W,32-38,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Home,ATL,W,12-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Away,TB,L,21-27,4,6,57,14.3,30,0,0,0,0,0,0,0,0
2,2018,3,Home,IND,W,16-20,1,4,10,10,10,0,0,0,0,0,0,0,0
3,2018,4,Away,TEN,L,23-26,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,MIN,L,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,NYG,W,34-13,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Home,CAR,L,21-17,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,JAC,W,24-18,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Home,DAL,L,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,NO,L,7-48,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Home,NYG,W,22-25,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Home,WAS,W,13-28,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,DAL,L,23-29,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,LAR,W,30-23,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Home,HOU,W,30-32,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,WAS,W,24-0,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Home,WAS,W,27-32,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,ATL,L,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,DET,L,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,GB,W,34-27,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,NYJ,W,6-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,MIN,L,20-38,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Away,DAL,L,10-37,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,BUF,W,31-13,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Home,CHI,W,14-22,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,NE,L,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,SEA,L,17-9,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,MIA,L,31-37,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,NYG,W,17-23,5,5,37,7.4,13,0,0,0,0,0,0,0,0
13,2019,15,Away,WAS,W,37-27,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,DAL,W,9-17,0,2,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,NYG,W,34-17,4,6,50,12.5,24,1,0,0,0,0,0,0,0
