,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Away,ARI,W,17-18,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,NYG,W,25-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,ARI,W,14-23,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,5,Away,DEN,L,20-41,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,6,Away,ARI,W,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,7,Away,OAK,W,24-13,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,8,Away,ARI,W,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,9,Away,DAL,W,28-17,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,10,Away,ARI,W,14-31,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,ARI,W,6-14,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,SEA,L,3-19,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,ATL,L,18-29,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,ARI,W,14-17,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,STL,W,12-6,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Home,SEA,L,35-6,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Away,SF,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Home,NYJ,W,12-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,CAR,L,3-9,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Home,DEN,W,16-26,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,ATL,W,23-17,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Away,CIN,L,16-20,1,2,3,3,3,0,0,0,0,0,0,0,0
5,2017,7,Home,TB,W,27-30,1,1,22,22,22,1,0,0,0,0,0,0,0
6,2017,8,Home,OAK,W,14-34,1,1,7,7,7,0,0,0,0,0,0,0,0
7,2017,9,Away,NYJ,L,21-34,2,3,25,12.5,20,0,0,0,0,0,0,0,0
8,2017,10,Home,NO,L,47-10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,LAC,L,24-54,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,KC,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,NE,L,23-3,2,2,10,5,7,0,0,0,0,0,0,0,0
12,2017,14,Home,IND,W,7-13,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Home,MIA,W,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,NE,L,16-37,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,MIA,W,22-16,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,BAL,L,3-47,1,2,24,24,24,0,0,0,0,0,0,0,0
1,2018,2,Home,LAC,L,31-20,1,1,7,7,7,0,0,0,0,0,0,0,0
2,2018,3,Away,MIN,W,27-6,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,GB,L,0-22,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Home,TEN,W,12-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,HOU,L,13-20,1,1,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,IND,L,5-37,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Home,NE,L,25-6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,9,Home,CHI,L,41-9,7,8,40,5.7,9,0,0,0,0,0,0,0,0
9,2018,10,Away,NYJ,W,41-10,1,1,1,1,1,0,0,0,0,0,0,0,0
10,2018,12,Home,JAC,W,21-24,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,MIA,L,17-21,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Home,NYJ,L,27-23,1,2,5,5,5,0,0,0,0,0,0,0,0
13,2018,15,Away,BUF,W,13-14,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,NE,L,12-24,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,MIA,W,17-42,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,ARI,T,27-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,LAC,W,10-13,1,1,7,7,7,0,0,0,0,0,0,0,0
2,2019,3,Away,PHI,W,27-24,1,1,15,15,15,0,0,0,0,0,0,0,0
3,2019,4,Home,KC,L,34-30,3,3,25,8.3,12,0,0,0,0,0,0,0,0
4,2019,6,Away,GB,L,22-23,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2019,7,Home,MIN,L,42-30,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Home,NYG,W,26-31,1,1,17,17,17,0,0,0,0,0,0,0,0
7,2019,9,Away,OAK,L,24-31,1,2,13,13,13,0,0,0,0,0,0,0,0
8,2019,10,Away,CHI,L,13-20,2,2,19,9.5,10,0,0,0,0,0,0,0,0
9,2019,11,Home,DAL,L,35-27,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,WAS,L,16-19,2,2,24,12,12,1,0,0,0,0,0,0,0
11,2019,13,Home,CHI,L,24-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,MIN,L,7-20,2,4,21,10.5,11,0,0,0,0,0,0,0,0
13,2019,15,Home,TB,L,38-17,0,4,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,DEN,L,17-27,2,3,17,8.5,9,0,0,0,0,0,0,0,0
15,2019,17,Home,GB,L,23-20,1,3,15,15,15,0,0,0,0,0,0,0,0
