,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,BUF,W,3-47,3,4,31,10.3,12,0,0,0,0,0,0,0,0
1,2018,2,Away,CIN,L,23-34,3,4,17,5.7,11,1,0,0,0,0,0,0,0
2,2018,3,Home,DEN,W,14-27,2,3,59,29.5,30,0,0,0,0,0,0,0,0
3,2018,4,Away,PIT,W,26-14,2,2,12,6,10,0,0,0,0,0,0,0,0
4,2018,5,Away,CLE,L,9-12,1,3,16,16,16,0,0,0,0,0,0,0,0
5,2018,6,Away,TEN,W,21-0,2,4,20,10,13,0,0,0,0,0,0,0,0
6,2018,7,Home,NO,L,24-23,1,1,8,8,8,1,0,0,0,0,0,0,0
7,2018,8,Away,CAR,L,21-36,4,5,31,7.8,10,0,0,0,0,0,0,0,0
8,2018,9,Home,PIT,L,23-16,3,6,50,16.7,21,0,0,0,0,0,0,0,0
9,2018,11,Home,CIN,W,21-24,1,1,19,19,19,0,0,0,0,0,0,0,0
10,2018,12,Home,OAK,W,17-34,1,1,74,74,74,0,0,0,0,0,0,0,0
11,2018,13,Away,ATL,W,26-16,3,3,47,15.7,21,0,0,0,0,0,0,0,0
12,2018,14,Away,KC,L,24-27,0,2,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,TB,W,12-20,2,4,31,15.5,17,0,0,0,0,0,0,0,0
14,2018,16,Away,LAC,W,22-10,2,2,83,41.5,68,1,0,0,0,0,0,0,0
15,2018,17,Home,CLE,W,24-26,4,5,54,13.5,28,0,0,0,0,0,0,0,0
0,2019,1,Away,MIA,W,59-10,8,8,108,13.5,39,1,0,0,0,0,0,0,0
1,2019,2,Home,ARI,W,17-23,8,9,112,14,28,1,0,0,0,0,0,1,0
2,2019,3,Away,KC,L,28-33,3,7,15,5,5,0,0,0,0,0,0,0,0
3,2019,4,Home,CLE,L,40-25,4,8,31,7.8,11,1,0,0,0,0,0,0,0
4,2019,5,Away,PIT,W,26-23,5,7,45,9,24,0,0,0,0,0,0,0,0
5,2019,6,Home,CIN,W,17-23,6,8,99,16.5,39,0,0,0,0,0,0,1,1
6,2019,7,Away,SEA,W,30-16,2,8,39,19.5,33,0,0,0,0,0,0,0,0
7,2019,9,Home,NE,W,20-37,2,3,21,10.5,18,0,0,0,0,0,0,0,0
8,2019,10,Away,CIN,W,49-13,6,8,53,8.8,19,2,0,0,0,0,0,0,0
9,2019,11,Home,HOU,W,7-41,4,4,75,18.8,51,1,0,0,0,0,0,0,0
10,2019,12,Away,LAR,W,45-6,2,3,45,22.5,38,0,0,0,0,0,0,0,0
11,2019,13,Home,SF,W,17-20,3,6,50,16.7,20,1,0,0,0,0,0,0,0
12,2019,14,Away,BUF,W,24-17,1,3,14,14,14,0,0,0,0,0,0,0,0
13,2019,15,Home,NYJ,W,21-42,4,7,52,13,36,1,0,0,0,0,0,0,0
14,2019,16,Away,CLE,W,31-15,6,9,93,15.5,39,2,0,0,0,0,0,0,0
15,2019,17,Home,PIT,W,10-28,-,-,-,-,-,-,-,-,-,-,-,-,-
