,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,DAL,L,26-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,NYG,L,24-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,NYG,W,21-32,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,BUF,W,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,NYG,W,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,PHI,L,7-27,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Away,NYG,W,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,8,Away,NO,L,49-52,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,9,Away,TB,W,32-18,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,10,Away,NYG,L,27-26,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,WAS,L,14-20,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,NYG,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,MIA,W,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,NYG,L,38-35,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,MIN,L,17-49,3,3,22,7.3,10,0,0,0,0,0,0,0,0
15,2015,17,Home,PHI,L,35-30,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017,6,Away,DEN,W,23-10,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2017,7,Home,SEA,W,24-7,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,9,Home,LAR,W,51-17,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,16,Away,WAS,W,11-27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,17,Home,KC,W,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Home,SEA,W,24-27,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,OAK,W,19-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Away,BAL,L,14-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,KC,L,27-23,1,1,17,17,17,0,0,0,0,0,0,0,0
4,2018,5,Away,NYJ,L,16-34,2,2,19,9.5,11,0,0,0,0,0,0,0,0
5,2018,6,Home,LAR,L,23-20,1,4,7,7,7,0,0,0,0,0,0,0,0
6,2018,7,Away,ARI,W,45-10,1,1,12,12,12,0,0,0,0,0,0,0,0
7,2018,8,Away,KC,L,23-30,4,5,29,7.3,8,0,0,0,0,0,0,0,0
8,2018,9,Home,HOU,L,19-17,1,1,44,44,44,0,0,0,0,0,0,0,0
9,2018,11,Away,LAC,W,23-22,1,2,9,9,9,0,0,0,0,0,0,0,0
10,2018,12,Home,PIT,W,17-24,3,4,34,11.3,17,1,0,0,0,0,0,0,0
11,2018,13,Away,CIN,W,24-10,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,SF,L,14-20,1,1,3,3,3,0,0,0,0,0,0,0,0
13,2018,15,Home,CLE,L,17-16,4,6,43,10.8,14,0,0,0,0,0,0,0,0
14,2018,16,Away,OAK,L,14-27,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,LAC,L,23-9,5,8,33,6.6,12,0,0,0,0,0,0,0,0
0,2019,1,Away,NE,W,3-33,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,MIA,W,43-0,2,2,33,16.5,23,0,0,0,0,0,0,0,0
2,2019,3,Home,NYJ,W,14-30,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,BUF,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,WAS,W,33-7,1,4,22,22,22,0,0,0,0,0,0,0,0
5,2019,6,Home,NYG,W,14-35,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,NYJ,W,33-0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,CLE,W,13-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Away,BAL,L,20-37,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,PHI,W,17-10,2,2,3,1.5,7,0,0,0,0,0,0,0,0
10,2019,12,Home,DAL,W,9-13,1,1,5,5,5,0,0,0,0,0,0,0,0
11,2019,13,Away,HOU,L,22-28,1,2,24,24,24,0,0,0,0,0,0,0,0
12,2019,14,Home,KC,L,23-16,2,4,14,7,8,0,0,0,0,0,0,0,0
13,2019,15,Away,CIN,W,34-13,3,3,22,7.3,14,0,0,0,0,0,0,0,0
14,2019,16,Home,BUF,W,17-24,1,1,8,8,8,1,0,0,0,0,0,0,0
15,2019,17,Home,MIA,L,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
