,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,TEN,W,20-27,1,2,11,11,11,0,0,0,0,0,0,0,0
1,2018,2,Away,NYJ,W,20-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,OAK,W,20-28,3,3,31,10.3,19,0,0,0,0,0,0,0,0
3,2018,4,Away,NE,L,7-38,1,2,9,9,9,0,0,0,0,0,0,0,0
4,2018,5,Away,CIN,L,17-27,3,5,26,8.7,16,0,0,0,0,0,0,0,0
5,2018,6,Home,CHI,W,28-31,1,2,11,11,11,0,0,0,0,0,0,0,0
6,2018,7,Home,DET,L,32-21,3,3,44,14.7,27,0,0,0,0,0,0,0,0
7,2018,8,Away,HOU,L,23-42,4,5,14,3.5,10,0,0,0,0,0,0,0,0
8,2018,9,Home,NYJ,W,6-13,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2018,10,Away,GB,L,12-31,1,1,5,5,5,0,0,0,0,0,0,0,0
10,2018,12,Away,IND,L,24-27,1,1,5,5,5,0,0,0,0,0,0,1,1
11,2018,13,Home,BUF,W,17-21,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,NE,W,33-34,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,MIN,L,17-41,2,3,23,11.5,14,0,0,0,0,0,0,0,0
14,2018,16,Home,JAC,L,17-7,1,1,5,5,5,0,0,0,0,0,0,0,0
15,2018,17,Away,BUF,L,17-42,1,2,18,18,18,0,0,0,0,0,0,0,0
0,2019,1,Home,BAL,L,59-10,2,6,31,15.5,26,0,0,0,0,0,0,0,0
1,2019,2,Home,NE,L,43-0,1,2,11,11,11,0,0,0,0,0,0,0,0
2,2019,3,Away,DAL,L,6-31,3,3,9,3,5,0,0,0,0,0,0,0,0
3,2019,4,Home,LAC,L,30-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,6,Home,WAS,L,17-16,3,7,51,17,30,0,0,0,0,0,0,0,0
5,2019,7,Away,BUF,L,21-31,4,4,41,10.3,17,0,0,0,0,0,0,0,0
6,2019,8,Away,PIT,L,14-27,2,3,10,5,5,0,0,0,0,0,0,0,0
7,2019,9,Home,NYJ,W,18-26,6,6,95,15.8,34,0,0,0,0,0,0,0,0
8,2019,10,Away,IND,W,16-12,3,6,28,9.3,12,0,0,0,0,0,0,1,1
9,2019,11,Home,BUF,L,37-20,4,6,18,4.5,10,0,0,0,0,0,0,0,0
10,2019,12,Away,CLE,L,24-41,3,7,28,9.3,11,1,0,0,0,0,0,0,0
11,2019,13,Home,PHI,W,31-37,5,7,79,15.8,21,1,0,0,0,0,0,0,0
12,2019,14,Away,NYJ,L,21-22,1,5,6,6,6,0,0,0,0,0,0,0,0
13,2019,15,Away,NYG,L,20-36,4,8,47,11.8,24,0,0,0,0,0,0,0,0
14,2019,16,Home,CIN,W,35-38,6,12,82,13.7,31,2,0,0,0,0,0,0,0
15,2019,17,Away,NE,W,27-24,4,7,34,8.5,14,1,0,0,0,0,0,0,0
