,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,DEN,L,13-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Away,OAK,L,33-37,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Home,CIN,L,28-24,2,2,19,9.5,13,0,0,0,0,0,0,0,0
3,2015,4,Away,PIT,W,23-20,3,4,12,4,8,0,0,0,0,0,0,0,0
4,2015,5,Home,CLE,L,33-30,3,3,27,9,11,0,0,0,0,0,0,0,0
5,2015,6,Away,SF,L,20-25,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,7,Away,ARI,L,18-26,2,2,20,10,11,0,0,0,0,0,0,0,0
7,2015,8,Home,SD,W,26-29,1,2,15,15,15,0,0,0,0,0,0,0,0
8,2015,10,Home,JAC,L,22-20,3,3,35,11.7,25,0,0,0,0,0,0,0,0
9,2015,11,Home,STL,W,13-16,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,CLE,W,33-27,1,3,10,10,10,0,0,0,0,0,0,0,0
11,2015,13,Away,MIA,L,13-15,3,4,15,5,7,0,0,0,0,0,0,0,0
12,2015,14,Home,SEA,L,35-6,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Home,KC,L,34-14,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Home,PIT,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,CIN,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Home,BUF,W,7-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,CLE,W,25-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,JAC,W,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Home,OAK,L,28-27,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Home,WAS,L,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,NYG,L,23-27,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,NYJ,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Home,PIT,W,14-21,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Home,CLE,W,7-28,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,DAL,L,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Home,CIN,W,14-19,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Home,MIA,W,6-38,2,2,24,12,20,0,0,0,0,0,0,0,0
12,2016,14,Away,NE,L,23-30,3,3,15,5,7,0,0,0,0,0,0,0,0
13,2016,15,Home,PHI,W,26-27,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Away,PIT,L,27-31,1,1,5,5,5,0,0,0,0,0,0,0,0
15,2016,17,Away,CIN,L,10-27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Away,CIN,W,20-0,1,1,14,14,14,0,0,0,0,0,0,0,0
1,2017,2,Home,CLE,W,10-24,1,1,9,9,9,0,0,0,0,0,0,0,0
2,2017,3,Away,JAC,L,7-44,2,2,14,7,7,0,0,0,0,0,0,0,0
3,2017,4,Home,PIT,L,26-9,5,5,36,7.2,14,0,0,0,0,0,0,0,0
4,2017,5,Away,OAK,W,30-17,1,2,9,9,9,0,0,0,0,0,0,0,0
5,2017,6,Home,CHI,L,27-24,2,3,15,7.5,12,0,0,0,0,0,0,0,0
6,2017,7,Away,MIN,L,16-24,2,3,12,6,8,0,0,0,0,0,0,0,0
7,2017,8,Home,MIA,W,0-40,4,4,29,7.3,12,0,0,0,0,0,0,0,0
