,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,OAK,L,16-24,2,4,29,14.5,20,0,1,-5,-5,-5,0,0,0
1,2019,2,Home,CHI,L,16-14,4,4,33,8.3,24,0,0,0,0,0,0,0,0
2,2019,3,Away,GB,L,16-27,3,3,37,12.3,17,0,0,0,0,0,0,1,1
3,2019,4,Home,JAC,L,26-24,2,4,31,15.5,25,1,0,0,0,0,0,0,0
4,2019,5,Away,LAC,W,20-13,1,1,6,6,6,0,0,0,0,0,0,0,0
5,2019,6,Home,TEN,W,0-16,2,3,16,8,11,0,0,0,0,0,0,0,0
6,2019,7,Home,KC,L,30-6,1,5,7,7,7,0,0,0,0,0,0,0,0
7,2019,8,Away,IND,L,13-15,5,9,26,5.2,17,0,0,0,0,0,0,0,0
8,2019,9,Home,CLE,W,19-24,3,4,115,38.3,75,1,0,0,0,0,0,0,0
9,2019,11,Away,MIN,L,23-27,4,10,60,15,31,0,2,-7,-3.5,-2,0,0,0
10,2019,12,Away,BUF,L,3-20,3,5,14,4.7,16,0,0,0,0,0,0,0,0
11,2019,13,Home,LAC,W,20-23,1,3,5,5,5,0,0,0,0,0,0,0,0
12,2019,14,Away,HOU,W,38-24,4,4,113,28.3,48,1,0,0,0,0,0,0,0
13,2019,15,Away,KC,L,3-23,2,3,56,28,43,0,0,0,0,0,0,0,0
14,2019,16,Home,DET,W,17-27,2,2,10,5,9,0,0,0,0,0,0,0,0
15,2019,17,Home,OAK,W,15-16,1,2,4,4,4,0,0,0,0,0,0,0,0
