,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,DET,L,24-34,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,2,Away,CHI,L,30-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,3,Away,MIN,L,31-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,MIN,W,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,6,Home,CAR,L,35-10,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2013,7,Away,NYG,L,7-23,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,8,Away,MIN,L,44-31,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,9,Away,DAL,L,23-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,10,Away,MIN,W,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,SEA,L,20-41,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,12,Away,GB,T,26-26,2,2,26,13,14,1,0,0,0,0,0,0,0
11,2013,13,Home,CHI,W,20-23,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2013,14,Away,BAL,L,26-29,0,3,0,0,0,0,0,0,0,0,0,0,0
13,2013,15,Home,PHI,W,30-48,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,16,Away,CIN,L,14-42,2,3,22,11,17,0,0,0,0,0,0,0,0
15,2013,17,Home,DET,W,13-14,1,1,13,13,13,0,0,0,0,0,0,0,0
0,2014,1,Away,STL,W,34-6,1,1,22,22,22,0,0,0,0,0,0,0,0
1,2014,2,Home,NE,L,30-7,1,1,24,24,24,0,0,0,0,0,0,0,0
2,2014,3,Away,NO,L,9-20,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2014,4,Home,ATL,W,28-41,1,1,19,19,19,0,0,0,0,0,0,0,0
4,2014,5,Away,GB,L,10-42,1,2,12,12,12,0,0,0,0,0,0,0,0
5,2014,6,Home,DET,L,17-3,1,1,4,4,4,0,0,0,0,0,0,0,0
6,2014,7,Away,BUF,L,16-17,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2014,8,Away,TB,W,19-13,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2014,9,Home,WAS,W,26-29,4,4,30,7.5,15,0,0,0,0,0,0,0,0
9,2014,11,Away,CHI,L,13-21,1,1,7,7,7,1,0,0,0,0,0,0,0
10,2014,12,Home,GB,L,24-21,2,4,11,5.5,6,0,0,0,0,0,0,0,0
11,2014,13,Home,CAR,W,13-31,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Home,NYJ,W,24-30,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2014,15,Away,DET,L,14-16,2,2,9,4.5,10,0,0,0,0,0,0,0,0
14,2014,16,Away,MIA,L,35-37,2,2,47,23.5,40,0,0,0,0,0,0,0,0
15,2014,17,Home,CHI,W,9-13,3,3,23,7.7,10,0,0,0,0,0,0,0,0
0,2015,1,Away,SF,L,3-20,1,2,3,3,3,0,0,0,0,0,0,0,0
1,2015,2,Home,DET,W,16-26,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Home,SD,W,14-31,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Away,DEN,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,6,Home,KC,W,10-16,1,2,11,11,11,0,0,0,0,0,0,0,0
5,2015,7,Away,DET,W,28-19,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,8,Away,CHI,W,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Home,STL,W,18-21,2,3,11,5.5,6,0,0,0,0,0,0,0,0
8,2015,10,Away,OAK,W,30-14,2,2,18,9,11,1,0,0,0,0,0,0,0
9,2015,11,Home,GB,L,30-13,2,3,19,9.5,18,0,0,0,0,0,0,0,0
10,2015,12,Away,ATL,W,20-10,1,2,23,23,23,0,0,0,0,0,0,0,0
11,2015,13,Home,SEA,L,38-7,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2015,14,Away,ARI,L,20-23,1,1,41,41,41,0,0,0,0,0,0,0,0
