,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,DET,L,23-35,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,IND,W,16-13,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Home,DAL,L,28-17,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,SF,W,15-18,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Away,PHI,L,7-34,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,ARI,W,33-38,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,LAR,L,0-33,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,SF,W,20-10,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,ARI,L,22-16,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Away,HOU,L,21-31,3,5,54,18,28,2,0,0,0,0,0,0,0
10,2017,12,Home,JAC,W,24-27,4,6,72,18,29,1,0,0,0,0,0,0,0
11,2017,13,Home,LAR,L,32-16,2,5,44,22,27,0,0,0,0,0,0,0,0
12,2017,14,Home,TEN,W,7-12,1,3,20,20,20,0,0,0,0,0,0,0,0
13,2017,15,Away,WAS,L,15-20,2,6,11,5.5,7,0,0,0,0,0,0,0,0
14,2017,16,Home,NYG,W,0-23,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,SEA,W,26-24,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Home,WAS,L,24-6,3,6,19,6.3,7,0,0,0,0,0,0,0,0
1,2018,2,Away,LAR,L,0-34,4,6,17,4.3,8,0,0,0,0,0,0,0,0
2,2018,3,Home,CHI,L,16-14,1,3,35,35,35,1,0,0,0,0,0,0,0
3,2018,4,Home,SEA,L,20-17,2,4,52,26,31,0,0,0,0,0,0,0,0
4,2018,5,Away,SF,W,28-18,0,6,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,MIN,L,17-27,5,6,69,13.8,40,0,0,0,0,0,0,0,0
6,2018,7,Home,DEN,L,45-10,2,4,12,6,7,0,0,0,0,0,0,0,0
7,2018,8,Home,SF,W,15-18,2,4,12,6,13,0,0,0,0,0,0,0,0
8,2018,10,Away,KC,L,14-26,5,9,51,10.2,21,0,0,0,0,0,0,0,0
9,2018,11,Home,OAK,L,23-21,1,3,5,5,5,0,0,0,0,0,0,0,0
10,2018,12,Away,LAC,L,10-45,1,2,5,5,5,0,0,0,0,0,0,0,0
11,2018,13,Away,GB,W,20-17,1,3,10,10,10,0,0,0,0,0,0,0,0
12,2018,14,Home,DET,L,17-3,3,5,31,10.3,12,0,0,0,0,0,0,0,0
13,2018,15,Away,ATL,L,14-40,3,8,22,7.3,9,0,0,0,0,0,0,0,0
14,2018,16,Home,LAR,L,31-9,1,1,3,3,3,0,0,0,0,0,0,0,0
15,2018,17,Away,SEA,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,CLE,L,43-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,NYJ,W,23-3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,LAR,L,20-13,1,2,14,14,14,0,0,0,0,0,0,0,0
3,2019,4,Away,BAL,W,40-25,3,3,82,27.3,59,1,0,0,0,0,0,0,0
4,2019,5,Away,SF,L,3-31,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,SEA,L,32-28,3,6,47,15.7,31,1,0,0,0,0,0,0,0
6,2019,8,Away,NE,L,13-27,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Away,DEN,L,19-24,2,2,12,6,7,0,0,0,0,0,0,0,0
8,2019,10,Away,CLE,W,16-19,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,PIT,W,7-21,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,MIA,W,24-41,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,PIT,L,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,CIN,W,19-27,1,1,22,22,22,0,0,0,0,0,0,0,0
13,2019,15,Away,ARI,L,24-38,3,4,29,9.7,26,2,0,0,0,0,0,1,1
14,2019,16,Home,BAL,L,31-15,1,2,23,23,23,0,0,0,0,0,0,0,0
15,2019,17,Away,CIN,L,23-33,0,0,0,0,0,0,0,0,0,0,0,0,0
