,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,ARI,T,27-27,6,9,131,21.8,39,1,0,0,0,0,0,0,0
1,2019,2,Home,LAC,W,10-13,1,3,7,7,7,0,0,0,0,0,0,0,0
2,2019,3,Away,PHI,W,27-24,1,4,1,1,1,0,0,0,0,0,0,0,0
3,2019,4,Home,KC,L,34-30,3,3,27,9,13,1,0,0,0,0,0,0,0
4,2019,6,Away,GB,L,22-23,4,6,21,5.3,7,0,0,0,0,0,0,0,0
5,2019,7,Home,MIN,L,42-30,3,5,32,10.7,14,0,0,0,0,0,0,0,0
6,2019,8,Home,NYG,W,26-31,1,1,21,21,21,0,0,0,0,0,0,0,0
7,2019,9,Away,OAK,L,24-31,3,7,56,18.7,23,0,0,0,0,0,0,0,0
8,2019,10,Away,CHI,L,13-20,3,6,47,15.7,19,0,0,0,0,0,0,0,0
9,2019,11,Home,DAL,L,35-27,1,2,6,6,6,0,0,0,0,0,0,0,0
10,2019,12,Away,WAS,L,16-19,0,2,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,CHI,L,24-20,6,11,18,3,9,0,0,0,0,0,0,0,0
12,2019,14,Away,MIN,L,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,TB,L,38-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,DEN,L,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,GB,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
