,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,OAK,W,33-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Home,SD,W,19-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,BAL,W,28-24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Home,KC,W,21-36,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,5,Home,SEA,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,6,Away,BUF,W,34-21,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,8,Away,PIT,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,9,Home,CLE,W,10-31,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,10,Home,HOU,L,10-6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,11,Away,ARI,L,31-34,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2015,12,Home,STL,W,7-31,1,1,4,4,4,0,0,0,0,0,0,0,0
11,2015,13,Away,CLE,W,37-3,1,1,17,17,17,0,0,0,0,0,0,0,0
12,2015,14,Home,PIT,L,33-20,2,3,31,15.5,22,0,0,0,0,0,0,0,0
13,2015,15,Away,SF,W,24-14,3,3,31,10.3,20,1,0,0,0,0,0,0,0
14,2015,16,Away,DEN,L,17-20,4,6,46,11.5,15,0,0,0,0,0,0,0,0
15,2015,17,Home,BAL,W,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2016,1,Away,NYJ,W,23-22,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Away,PIT,L,16-24,3,4,35,11.7,21,0,0,0,0,0,0,0,0
2,2016,3,Home,DEN,L,29-17,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Home,MIA,W,7-22,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Away,DAL,L,14-28,3,3,29,9.7,13,0,0,0,0,0,0,0,0
5,2016,6,Away,NE,L,17-35,2,2,19,9.5,13,0,0,0,0,0,0,0,0
6,2016,7,Home,CLE,W,17-31,1,1,3,3,3,0,0,0,0,0,0,0,0
7,2016,8,Home,WAS,T,27-27,1,1,6,6,6,0,0,0,0,0,0,0,0
8,2016,10,Away,NYG,L,20-21,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Home,BUF,L,16-12,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Away,BAL,L,14-19,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Home,PHI,W,14-32,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Away,CLE,W,23-10,0,0,0,0,0,0,0,0,0,0,0,0,0
