,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,BAL,W,27-49,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,2,Away,NYG,W,41-23,1,1,5,5,5,0,0,0,0,0,0,0,0
2,2013,3,Home,OAK,W,21-37,1,2,3,3,3,0,0,0,0,0,0,0,0
3,2013,4,Home,PHI,W,20-52,1,1,5,5,5,0,0,0,0,0,0,0,0
4,2013,5,Away,DAL,W,51-48,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2013,6,Home,JAC,W,19-35,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,7,Away,IND,L,33-39,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013,8,Home,WAS,W,21-45,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2013,10,Away,SD,W,28-20,1,1,4,4,4,0,0,0,0,0,0,0,0
9,2013,11,Home,KC,W,17-27,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,12,Away,NE,L,31-34,1,2,3,3,3,0,0,0,0,0,0,0,0
11,2013,13,Away,KC,W,35-28,1,1,2,2,2,0,0,0,0,0,0,0,0
12,2013,14,Home,TEN,W,28-51,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2013,15,Home,SD,L,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,16,Away,HOU,W,37-13,1,1,8,8,8,0,0,0,0,0,0,0,0
15,2013,17,Away,OAK,W,34-14,2,2,15,7.5,10,0,0,0,0,0,0,0,0
0,2014,1,Home,IND,W,24-31,1,1,8,8,8,0,0,0,0,0,0,0,0
1,2014,2,Home,KC,W,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Away,SEA,L,20-26,1,1,10,10,10,0,1,0,0,0,0,0,0
3,2014,5,Home,ARI,W,20-41,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,6,Away,NYJ,W,31-17,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014,7,Home,SF,W,17-42,0,0,0,0,0,0,1,3,3,3,0,0,0
6,2014,8,Home,SD,W,21-35,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,9,Away,NE,L,21-43,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,10,Away,OAK,W,41-17,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,STL,L,7-22,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Home,MIA,W,36-39,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Away,KC,W,29-16,1,1,10,10,10,0,0,0,0,0,0,0,0
12,2014,14,Home,BUF,W,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2014,15,Away,SD,W,22-10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2014,16,Away,CIN,L,28-37,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Home,OAK,W,14-47,3,3,46,15.3,38,1,0,0,0,0,0,0,0
0,2015,1,Home,BAL,W,13-19,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Away,KC,W,31-24,2,3,12,6,11,1,0,0,0,0,0,0,0
2,2015,3,Away,DET,W,24-12,1,1,26,26,26,0,0,0,0,0,0,0,0
3,2015,4,Home,MIN,W,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,5,Away,OAK,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,6,Away,CLE,W,26-23,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,8,Home,GB,W,10-29,3,3,61,20.3,32,0,0,0,0,0,0,0,0
7,2015,9,Away,IND,L,24-27,1,1,13,13,13,0,0,0,0,0,0,0,0
8,2015,10,Home,KC,L,29-13,1,1,8,8,8,0,0,0,0,0,0,0,0
