,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,CLE,W,43-13,3,4,100,33.3,51,0,0,0,0,0,0,0,0
1,2019,2,Home,IND,L,19-17,3,5,25,8.3,11,0,0,0,0,0,0,0,0
2,2019,3,Away,JAC,L,7-20,1,5,4,4,4,0,0,0,0,0,0,0,0
3,2019,4,Away,ATL,W,24-10,3,3,94,31.3,55,2,0,0,0,0,0,0,0
4,2019,5,Home,BUF,L,14-7,2,2,27,13.5,14,0,0,0,0,0,0,0,0
5,2019,6,Away,DEN,L,0-16,2,4,23,11.5,13,0,0,0,0,0,0,1,0
6,2019,7,Home,LAC,W,20-23,6,8,64,10.7,16,0,1,-2,-2,-2,0,0,0
7,2019,8,Home,TB,W,23-27,2,3,11,5.5,8,1,0,0,0,0,0,0,0
8,2019,9,Away,CAR,L,20-30,4,7,81,20.3,35,0,0,0,0,0,0,0,0
9,2019,10,Home,KC,W,32-35,1,4,17,17,17,0,0,0,0,0,0,0,0
10,2019,12,Home,JAC,W,20-42,4,5,135,33.8,65,1,0,0,0,0,0,0,0
11,2019,13,Away,IND,W,31-17,3,4,45,15,16,0,0,0,0,0,0,0,0
12,2019,14,Away,OAK,W,42-21,5,7,153,30.6,91,2,1,13,13,13,0,0,0
13,2019,15,Home,HOU,L,24-21,8,13,114,14.3,60,1,0,0,0,0,0,0,0
14,2019,16,Home,NO,L,38-28,1,2,34,34,34,0,1,49,49,49,1,0,0
15,2019,17,Away,HOU,W,35-14,4,8,124,31,51,1,0,0,0,0,0,0,0
