,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Away,STL,W,34-6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Home,NE,L,30-7,0,2,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Away,NO,L,9-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014,4,Home,ATL,W,28-41,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,5,Away,GB,L,10-42,4,5,57,14.3,17,0,0,0,0,0,0,0,0
5,2014,6,Home,DET,L,17-3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014,7,Away,BUF,L,16-17,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2014,8,Away,TB,W,19-13,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2014,9,Home,WAS,W,26-29,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,11,Away,CHI,L,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,12,Home,GB,L,24-21,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Home,CAR,W,13-31,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Home,NYJ,W,24-30,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2014,15,Away,DET,L,14-16,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2014,16,Away,MIA,L,35-37,1,1,12,12,12,0,0,0,0,0,0,0,0
15,2014,17,Home,CHI,W,9-13,3,3,68,22.7,44,1,0,0,0,0,0,0,0
0,2015,1,Away,SF,L,3-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Home,DET,W,16-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Home,SD,W,14-31,2,4,16,8,11,0,0,0,0,0,0,0,0
3,2015,4,Away,DEN,L,20-23,6,8,70,11.7,18,0,0,0,0,0,0,0,0
4,2015,6,Home,KC,W,10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,7,Away,DET,W,28-19,1,2,30,30,30,0,0,0,0,0,0,0,0
6,2015,8,Away,CHI,W,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,9,Home,STL,W,18-21,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,10,Away,OAK,W,30-14,0,0,0,0,0,0,1,14,14,14,0,0,0
9,2015,11,Home,GB,L,30-13,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2015,12,Away,ATL,W,20-10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,13,Home,SEA,L,38-7,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,14,Away,ARI,L,20-23,1,1,7,7,7,0,0,0,0,0,0,0,0
13,2015,15,Home,CHI,W,17-38,0,0,0,0,0,0,1,8,8,8,0,0,0
14,2015,16,Home,NYG,W,17-49,1,1,5,5,5,0,0,0,0,0,0,0,0
15,2015,17,Away,GB,W,20-13,1,1,16,16,16,0,2,67,33.5,41,0,0,0
0,2016,1,Away,TEN,W,25-16,4,5,54,13.5,21,0,0,0,0,0,0,0,0
1,2016,2,Home,GB,W,14-17,4,5,41,10.3,15,0,0,0,0,0,0,1,0
2,2016,3,Away,CAR,W,22-10,3,4,29,9.7,19,0,0,0,0,0,0,0,0
3,2016,4,Home,NYG,W,10-24,2,3,21,10.5,18,0,0,0,0,0,0,0,0
4,2016,5,Home,HOU,W,13-31,7,8,127,18.1,36,1,0,0,0,0,0,0,0
5,2016,7,Away,PHI,L,10-21,2,5,52,26,27,0,0,0,0,0,0,0,0
6,2016,8,Away,CHI,L,10-20,3,5,40,13.3,21,0,0,0,0,0,0,0,0
7,2016,9,Home,DET,L,22-16,4,6,68,17,29,0,0,0,0,0,0,0,0
8,2016,10,Away,WAS,L,20-26,3,4,21,7,11,1,1,11,11,11,0,0,0
9,2016,11,Home,ARI,W,24-30,5,5,65,13,22,1,0,0,0,0,0,0,0
