,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Home,TEN,L,26-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Away,DEN,L,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Home,KC,W,34-15,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,KC,W,14-41,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,SF,L,17-22,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,7,Away,SD,W,23-20,1,1,11,11,11,0,0,0,0,0,0,0,0
6,2014,8,Home,STL,W,7-34,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,9,Home,NYJ,W,10-24,1,1,13,13,13,0,0,0,0,0,0,0,0
8,2014,10,Away,BUF,W,17-13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,11,Home,SEA,W,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,12,Away,OAK,L,20-24,2,2,27,13.5,23,0,0,0,0,0,0,0,0
11,2014,13,Home,DEN,L,29-16,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Away,ARI,L,14-17,4,8,53,13.3,22,0,0,0,0,0,0,0,0
13,2014,15,Home,OAK,W,13-31,3,5,69,23,48,0,0,0,0,0,0,0,0
14,2014,16,Away,PIT,L,12-20,5,7,87,17.4,33,0,0,0,0,0,0,0,0
15,2014,17,Home,SD,W,7-19,0,4,0,0,0,0,0,0,0,0,0,0,0
0,2015,1,Away,HOU,W,27-20,3,3,25,8.3,13,0,0,0,0,0,0,0,0
1,2015,2,Home,DEN,L,31-24,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,GB,L,28-38,0,3,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Away,CIN,L,21-36,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,KC,L,18-17,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,MIN,L,10-16,3,6,57,19,42,1,0,0,0,0,0,0,0
6,2015,7,Home,PIT,W,13-23,3,6,71,23.7,40,0,0,0,0,0,0,0,0
7,2015,8,Home,DET,W,10-45,3,4,12,4,6,0,0,0,0,0,0,0,0
8,2015,10,Away,DEN,W,29-13,1,4,16,16,16,0,0,0,0,0,0,0,0
9,2015,11,Away,SD,W,33-3,4,4,56,14,27,0,0,0,0,0,0,0,0
10,2015,12,Home,BUF,W,22-30,3,3,25,8.3,16,0,1,8,8,8,0,0,0
11,2015,13,Away,OAK,W,34-20,1,3,17,17,17,0,1,5,5,5,0,0,0
12,2015,14,Home,SD,W,3-10,4,6,87,21.8,44,1,0,0,0,0,0,0,0
13,2015,15,Away,BAL,W,34-14,4,4,27,6.8,11,0,1,8,8,8,0,0,0
14,2015,16,Home,CLE,W,13-17,3,4,34,11.3,19,0,2,5,2.5,3,0,0,0
15,2015,17,Home,OAK,W,17-23,3,6,24,8,14,0,0,0,0,0,0,0,0
0,2016,1,Home,SD,W,27-33,3,5,1,0.3,3,0,0,0,0,0,0,0,0
1,2016,2,Away,HOU,L,12-19,2,3,11,5.5,7,0,0,0,0,0,0,0,0
2,2016,3,Home,NYJ,W,3-24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Away,PIT,L,14-43,5,8,52,10.4,17,0,0,0,0,0,0,0,0
4,2016,6,Away,OAK,W,26-10,1,1,26,26,26,0,0,0,0,0,0,0,0
5,2016,7,Home,NO,W,21-27,1,1,4,4,4,0,0,0,0,0,0,0,0
6,2016,8,Away,IND,W,30-14,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,9,Home,JAC,W,14-19,3,8,42,14,23,1,1,-5,-5,-5,0,0,0
8,2016,10,Away,CAR,W,20-17,4,7,25,6.3,10,0,0,0,0,0,0,0,0
9,2016,11,Home,TB,L,19-17,4,4,19,4.8,7,1,0,0,0,0,0,0,0
10,2016,12,Away,DEN,W,30-27,2,6,6,3,4,0,0,0,0,0,0,0,0
11,2016,13,Away,ATL,W,29-28,4,4,48,12,21,0,1,55,55,55,1,0,0
12,2016,14,Home,OAK,W,13-21,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Home,TEN,L,19-17,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Home,DEN,W,10-33,1,1,3,3,3,0,0,0,0,0,0,0,0
15,2016,17,Away,SD,W,37-27,1,1,42,42,42,0,0,0,0,0,0,0,0
0,2017,1,Away,NE,W,42-27,5,5,37,7.4,13,0,0,0,0,0,0,0,0
1,2017,2,Home,PHI,W,20-27,2,3,22,11,12,0,1,4,4,4,0,0,0
2,2017,3,Away,LAC,W,24-10,3,4,18,6,11,1,1,-4,-4,-4,0,0,0
3,2017,4,Home,WAS,W,20-29,4,4,63,15.8,37,0,1,6,6,6,0,0,0
4,2017,5,Away,HOU,W,42-34,2,3,18,9,12,0,0,0,0,0,0,0,0
5,2017,6,Away,KC,L,19-13,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,OAK,L,30-31,1,2,63,63,63,1,0,0,0,0,0,0,0
7,2017,8,Home,DEN,W,19-29,0,1,0,0,0,0,0,0,0,0,0,0,0
