,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,17,Home,DET,W,31-0,1,1,7,7,7,0,0,0,0,0,0,0,0
0,2019,1,Away,CHI,W,10-3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,MIN,W,16-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,DEN,W,16-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,PHI,L,34-27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,DAL,W,34-24,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,DET,W,22-23,4,5,65,16.3,35,1,0,0,0,0,0,0,0
6,2019,7,Home,OAK,W,24-42,3,4,42,14,26,0,0,0,0,0,0,0,0
7,2019,8,Away,KC,W,31-24,5,5,42,8.4,14,0,0,0,0,0,0,0,0
8,2019,9,Away,LAC,L,11-26,3,4,44,14.7,17,0,0,0,0,0,0,0,0
9,2019,10,Home,CAR,W,16-24,3,6,27,9,19,0,0,0,0,0,0,0,0
10,2019,12,Away,SF,L,8-37,1,2,7,7,7,0,1,21,21,21,0,0,0
11,2019,13,Away,NYG,W,31-13,3,3,103,34.3,43,1,0,0,0,0,0,0,0
12,2019,14,Home,WAS,W,15-20,2,3,19,9.5,17,0,0,0,0,0,0,0,0
13,2019,15,Home,CHI,W,13-21,2,3,14,7,10,0,0,0,0,0,0,0,0
14,2019,16,Away,MIN,W,23-10,5,9,45,9,15,0,0,0,0,0,0,0,0
15,2019,17,Away,DET,W,23-20,4,8,69,17.3,28,1,0,0,0,0,0,0,0
