,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Away,PHI,L,17-34,1,3,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Away,WAS,L,10-41,4,6,75,18.8,54,0,0,0,0,0,0,0,0
2,2014,3,Home,IND,L,44-17,7,10,79,11.3,21,0,0,0,0,0,0,0,0
3,2014,4,Away,SD,L,14-33,5,7,38,7.6,14,0,0,0,0,0,0,0,0
4,2014,5,Home,PIT,L,17-9,5,11,51,10.2,17,0,0,0,0,0,0,0,0
5,2014,6,Away,TEN,L,14-16,8,9,68,8.5,15,0,0,0,0,0,0,0,0
6,2014,7,Home,CLE,W,6-24,4,7,60,15,31,1,0,0,0,0,0,0,0
7,2014,8,Home,MIA,L,27-13,5,10,82,16.4,48,1,0,0,0,0,0,0,0
8,2014,9,Away,CIN,L,23-33,4,8,35,8.8,13,0,0,0,0,0,0,0,0
9,2014,10,Home,DAL,L,31-17,5,10,60,12,31,0,0,0,0,0,0,0,0
10,2014,12,Away,IND,L,3-23,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,JAC,W,24-25,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,JAC,L,27-13,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,BAL,L,12-20,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Away,JAC,W,13-21,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Away,HOU,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Home,CAR,L,20-9,1,6,27,27,27,0,0,0,0,0,0,0,0
1,2015,2,Home,MIA,W,20-23,6,12,155,25.8,52,2,0,0,0,0,0,0,0
2,2015,3,Away,NE,L,17-51,4,9,68,17,37,0,0,0,0,0,0,0,0
3,2015,4,Away,IND,L,13-16,4,12,80,20,48,0,0,0,0,0,0,0,0
4,2015,5,Away,TB,L,31-38,7,9,72,10.3,21,2,0,0,0,0,0,0,0
5,2015,6,Home,HOU,L,31-20,6,12,86,14.3,25,1,0,0,0,0,0,0,0
6,2015,7,Home,BUF,W,31-34,6,9,98,16.3,23,1,0,0,0,0,0,0,0
7,2015,9,Away,NYJ,L,23-28,6,11,121,20.2,44,0,0,0,0,0,0,0,0
8,2015,10,Away,BAL,W,22-20,5,11,51,10.2,16,1,0,0,0,0,0,0,0
9,2015,11,Home,TEN,W,13-19,5,7,113,22.6,38,0,0,0,0,0,0,0,0
10,2015,12,Home,SD,L,31-25,5,11,56,11.2,25,1,0,0,0,0,0,0,0
11,2015,13,Away,TEN,L,39-42,10,15,153,15.3,44,3,0,0,0,0,0,0,0
12,2015,14,Home,IND,W,16-51,1,4,4,4,4,1,0,0,0,0,0,0,0
13,2015,15,Home,ATL,L,23-17,3,5,57,19,25,1,0,0,0,0,0,0,0
14,2015,16,Away,NO,L,27-38,6,9,151,25.2,90,1,0,0,0,0,0,0,0
15,2015,17,Away,HOU,L,6-30,5,9,108,21.6,36,0,0,0,0,0,0,0,0
0,2016,1,Home,GB,L,27-23,6,15,72,12,22,0,0,0,0,0,0,1,0
1,2016,2,Away,SD,L,14-38,3,5,54,18,35,0,0,0,0,0,0,0,0
2,2016,3,Home,BAL,L,19-17,7,11,57,8.1,14,2,0,0,0,0,0,0,0
3,2016,4,Home,IND,W,27-30,5,10,55,11,17,1,0,0,0,0,0,0,0
4,2016,6,Away,CHI,W,17-16,3,6,49,16.3,18,0,0,0,0,0,0,0,0
5,2016,7,Home,OAK,L,33-16,2,8,9,4.5,5,0,0,0,0,0,0,0,0
6,2016,8,Away,TEN,L,22-36,6,15,70,11.7,21,0,0,0,0,0,0,0,0
7,2016,9,Away,KC,L,14-19,7,12,76,10.9,20,1,0,0,0,0,0,0,0
8,2016,10,Home,HOU,L,24-21,9,13,107,11.9,19,1,0,0,0,0,0,0,0
9,2016,11,Away,DET,L,19-26,3,7,18,6,11,1,0,0,0,0,0,0,0
10,2016,12,Away,BUF,L,21-28,2,4,24,12,24,0,0,0,0,0,0,0,0
11,2016,13,Home,DEN,L,20-10,3,10,31,10.3,21,0,0,0,0,0,0,0,0
12,2016,14,Home,MIN,L,25-16,1,3,17,17,17,0,0,0,0,0,0,0,0
13,2016,15,Away,HOU,L,20-21,2,8,15,7.5,9,0,0,0,0,0,0,0,0
14,2016,16,Home,TEN,W,17-38,9,12,147,16.3,37,0,0,0,0,0,0,0,0
15,2016,17,Away,IND,L,20-24,5,12,82,16.4,42,0,0,0,0,0,0,0,0
0,2017,1,Away,HOU,W,29-7,1,1,17,17,17,0,0,0,0,0,0,0,0
1,2017,2,Away,JAC,L,37-16,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,JAC,W,7-44,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,NYJ,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,PIT,W,30-9,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,JAC,L,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-
