,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,CIN,W,21-24,5,8,42,8.4,18,0,0,0,0,0,0,0,0
1,2013,2,Home,MIN,W,30-31,1,5,11,11,11,0,2,30,15,38,0,0,0
2,2013,3,Away,PIT,W,40-23,7,8,51,7.3,9,0,0,0,0,0,0,1,0
3,2013,4,Away,DET,L,32-40,5,11,107,21.4,44,1,1,27,27,27,0,0,0
4,2013,5,Home,NO,L,26-18,10,13,218,21.8,58,1,0,0,0,0,0,0,0
5,2013,6,Home,NYG,W,21-27,1,5,27,27,27,0,1,15,15,15,0,0,0
6,2013,7,Away,WAS,L,41-45,4,7,105,26.3,35,0,2,16,8,11,0,0,0
7,2013,9,Away,GB,W,27-20,5,9,60,12,16,1,1,1,1,1,0,0,0
8,2013,10,Home,DET,L,21-19,9,18,114,12.7,18,0,2,5,2.5,5,0,0,0
9,2013,11,Home,BAL,W,20-23,7,11,83,11.9,18,0,3,17,5.7,11,0,1,0
10,2013,12,Away,STL,L,21-42,4,8,42,10.5,18,0,1,4,4,4,0,0,0
11,2013,13,Away,MIN,L,20-23,12,15,249,20.8,80,2,1,0,0,0,0,0,0
12,2013,14,Home,DAL,W,28-45,5,9,84,16.8,26,1,1,-7,-7,-7,0,0,0
13,2013,15,Away,CLE,W,38-31,5,6,72,14.4,45,1,1,-3,-3,-3,0,0,0
14,2013,16,Away,PHI,L,11-54,6,9,76,12.7,21,0,0,0,0,0,0,0,0
15,2013,17,Home,GB,L,33-28,3,8,80,26.7,67,0,0,0,0,0,0,1,1
0,2014,1,Home,BUF,L,23-20,5,6,71,14.2,44,0,0,0,0,0,0,0,0
1,2014,2,Away,SF,W,28-20,3,6,47,15.7,29,0,0,0,0,0,0,0,0
2,2014,3,Away,NYJ,W,27-19,8,13,105,13.1,42,0,2,13,6.5,7,0,0,0
3,2014,4,Home,GB,L,38-17,4,7,39,9.8,13,1,1,12,12,12,0,1,0
4,2014,5,Away,CAR,L,24-31,6,7,97,16.2,31,1,0,0,0,0,0,0,0
5,2014,6,Away,ATL,W,27-13,5,7,136,27.2,74,0,2,0,0,1,0,0,0
6,2014,7,Home,MIA,L,27-14,2,7,9,4.5,5,0,0,0,0,0,0,0,0
7,2014,8,Away,NE,L,23-51,5,8,59,11.8,22,1,0,0,0,0,0,0,0
8,2014,10,Away,GB,L,14-55,6,12,63,10.5,22,0,1,8,8,8,0,0,0
9,2014,11,Home,MIN,W,13-21,11,17,135,12.3,34,1,0,0,0,0,0,0,0
10,2014,12,Home,TB,W,13-21,3,4,22,7.3,16,1,0,0,0,0,0,0,0
11,2014,13,Away,DET,L,17-34,9,13,71,7.9,26,2,0,0,0,0,0,0,0
12,2014,14,Home,DAL,L,41-28,6,9,95,15.8,27,1,0,0,0,0,0,0,0
13,2014,15,Home,NO,L,31-15,4,9,78,19.5,35,1,0,0,0,0,0,0,0
14,2014,16,Home,DET,L,20-14,6,15,72,12,20,1,0,0,0,0,0,0,0
15,2014,17,Away,MIN,L,9-13,2,5,34,17,19,0,0,0,0,0,0,0,0
0,2015,1,Home,GB,L,31-23,5,11,78,15.6,25,0,0,0,0,0,0,0,0
1,2015,2,Away,CHI,L,48-23,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,SEA,L,0-26,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,CHI,W,20-22,-,-,-,-,-,-,-,-,-,-,-,-,-
