,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,STL,L,24-27,8,9,97,12.1,19,0,0,0,0,0,0,0,0
1,2013,2,Home,DET,W,21-25,3,8,36,12,19,0,0,0,0,0,0,0,0
2,2013,3,Away,NO,L,7-31,1,4,6,6,6,0,0,0,0,0,0,0,0
3,2013,4,Away,TB,W,13-10,1,2,6,6,6,0,0,0,0,0,0,0,0
4,2013,5,Home,CAR,W,6-22,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2013,6,Away,SF,L,20-32,1,4,5,5,5,0,0,0,0,0,0,0,0
6,2013,7,Home,SEA,L,34-22,5,8,33,6.6,11,0,0,0,0,0,0,0,0
7,2013,8,Home,ATL,W,13-27,1,2,8,8,8,0,0,0,0,0,0,0,0
8,2013,10,Home,HOU,W,24-27,5,8,72,14.4,19,1,0,0,0,0,0,0,0
9,2013,11,Away,JAC,W,27-14,3,4,14,4.7,8,0,0,0,0,0,0,0,0
10,2013,12,Home,IND,W,11-40,3,5,43,14.3,32,0,0,0,0,0,0,0,0
11,2013,13,Away,PHI,L,21-24,4,8,29,7.3,17,0,0,0,0,0,0,0,0
12,2013,14,Home,STL,W,10-30,1,2,8,8,8,0,0,0,0,0,0,0,0
13,2013,15,Away,TEN,W,37-34,2,3,15,7.5,12,0,0,0,0,0,0,0,0
14,2013,16,Away,SEA,W,17-10,2,2,25,12.5,17,0,0,0,0,0,0,0,0
15,2013,17,Home,SF,L,23-20,3,6,74,24.7,34,1,0,0,0,0,0,0,0
0,2014,1,Away,HOU,L,6-17,1,3,22,22,22,0,0,0,0,0,0,0,0
1,2014,2,Home,JAC,W,10-41,4,5,57,14.3,31,0,1,19,19,19,0,0,0
2,2014,3,Away,PHI,L,34-37,4,6,38,9.5,13,0,0,0,0,0,0,0,0
3,2014,4,Home,NYG,L,45-14,1,5,18,18,18,1,1,2,2,2,0,0,0
4,2014,5,Home,SEA,L,27-17,5,9,29,5.8,7,1,0,0,0,0,0,0,0
5,2014,6,Away,ARI,L,20-30,5,9,55,11,22,0,0,0,0,0,0,1,1
6,2014,7,Home,TEN,W,17-19,2,4,18,9,10,0,0,0,0,0,0,0,0
7,2014,8,Away,DAL,W,20-17,1,5,11,11,11,0,0,0,0,0,0,0,0
8,2014,9,Away,MIN,L,26-29,2,5,18,9,9,0,0,0,0,0,0,1,0
9,2014,11,Home,TB,L,27-7,2,2,21,10.5,13,0,0,0,0,0,0,1,0
10,2014,12,Away,SF,L,13-17,1,4,7,7,7,0,0,0,0,0,0,0,0
11,2014,13,Away,IND,L,27-49,2,5,46,23,24,0,0,0,0,0,0,0,0
12,2014,14,Home,STL,L,24-0,2,2,11,5.5,6,0,0,0,0,0,0,0,0
13,2014,15,Away,NYG,L,13-24,2,4,81,40.5,61,0,0,0,0,0,0,0,0
14,2014,16,Home,PHI,W,24-27,1,2,14,14,14,0,0,0,0,0,0,1,1
15,2014,17,Home,DAL,L,44-17,1,3,7,7,7,0,0,0,0,0,0,0,0
0,2015,1,Home,MIA,L,17-10,3,4,36,12,18,0,0,0,0,0,0,0,0
1,2015,2,Home,STL,W,10-24,1,1,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,NYG,L,21-32,1,3,18,18,18,0,0,0,0,0,0,0,0
3,2015,4,Away,WAS,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,ATL,L,19-25,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,6,Away,NYJ,L,20-34,1,4,6,6,6,0,0,0,0,0,0,0,0
6,2015,7,Home,TB,W,30-31,3,6,49,16.3,38,0,0,0,0,0,0,0,0
7,2015,9,Away,NE,L,10-27,2,2,26,13,18,0,0,0,0,0,0,0,0
8,2015,10,Away,WAS,W,14-47,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Away,CAR,L,16-44,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015,12,Home,NYG,W,14-20,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2015,13,Away,WAS,L,19-16,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,CHI,W,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,WAS,W,25-35,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,PHI,W,38-24,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,DAL,W,34-23,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Away,IND,W,39-35,1,1,8,8,8,0,0,0,0,0,0,0,0
1,2016,2,Home,TEN,L,16-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Away,GB,L,27-34,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Away,CHI,L,14-17,1,1,8,8,8,0,0,0,0,0,0,0,0
4,2016,5,Home,PHI,W,23-24,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Home,LAR,W,28-31,2,2,13,6.5,11,1,0,0,0,0,0,0,0
6,2016,7,Home,WAS,W,17-20,1,2,20,20,20,0,0,0,0,0,0,0,0
7,2016,8,Away,HOU,L,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,9,Away,MIN,W,22-16,1,1,27,27,27,0,0,0,0,0,0,0,0
9,2016,11,Home,JAC,W,19-26,1,1,44,44,44,0,0,0,0,0,0,1,1
10,2016,12,Home,MIN,W,13-16,2,4,19,9.5,14,0,0,0,0,0,0,0,0
11,2016,13,Away,NO,W,28-13,4,7,35,8.8,16,0,0,0,0,0,0,0,0
12,2016,14,Home,CHI,W,17-20,0,2,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Away,NYG,L,6-17,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2016,16,Away,DAL,L,21-42,1,1,14,14,14,0,0,0,0,0,0,0,0
15,2016,17,Home,GB,L,31-24,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Away,CHI,W,23-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,GB,W,23-34,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,DET,W,30-26,1,1,12,12,12,0,0,0,0,0,0,0,0
3,2017,4,Home,BUF,L,23-17,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2017,6,Home,MIA,L,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,7,Away,NE,L,7-23,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2017,8,Away,NYJ,W,25-20,0,0,0,0,0,0,0,0,0,0,0,1,0
7,2017,9,Away,CAR,L,17-20,0,1,0,0,0,0,0,0,0,0,0,1,0
8,2017,10,Home,DAL,W,7-27,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,SEA,W,34-31,0,0,0,0,0,0,0,0,0,0,0,1,1
10,2017,12,Home,TB,W,20-34,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Home,MIN,L,14-9,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,NO,W,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,TB,W,24-21,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,NO,L,13-23,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,CAR,W,10-22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Away,DET,W,48-17,0,0,0,0,0,0,1,2,2,2,0,0,0
