,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,TEN,L,16-9,5,7,71,14.2,22,0,1,4,4,4,0,0,0
1,2013,2,Away,CIN,L,10-20,6,9,57,9.5,18,0,0,0,0,0,0,0,0
2,2013,3,Home,CHI,L,40-23,9,13,196,21.8,45,2,0,0,0,0,0,0,0
3,2013,4,Away,MIN,L,27-34,12,13,88,7.3,15,0,1,10,10,10,0,0,0
4,2013,6,Away,NYJ,W,19-6,9,11,86,9.6,16,0,0,0,0,0,0,0,0
5,2013,7,Home,BAL,W,16-19,6,7,50,8.3,13,0,1,3,3,3,0,0,0
6,2013,8,Away,OAK,L,18-21,9,13,82,9.1,21,0,1,2,2,2,0,0,0
7,2013,9,Away,NE,L,31-55,5,9,71,14.2,27,1,0,0,0,0,0,0,0
8,2013,10,Home,BUF,W,10-23,6,11,104,17.3,40,0,0,0,0,0,0,0,0
9,2013,11,Home,DET,W,27-37,7,13,147,21,47,2,1,-8,-8,-8,0,0,0
10,2013,12,Away,CLE,W,27-11,6,10,92,15.3,41,1,1,-8,-8,-8,0,0,0
11,2013,13,Away,BAL,L,20-22,5,8,59,11.8,19,0,0,0,0,0,0,0,0
12,2013,14,Home,MIA,L,34-28,5,9,138,27.6,56,1,0,0,0,0,0,0,0
13,2013,15,Home,CIN,W,20-30,5,6,66,13.2,20,1,1,1,1,1,0,0,0
14,2013,16,Away,GB,W,38-31,6,13,105,17.5,36,0,0,0,0,0,0,1,0
15,2013,17,Home,CLE,W,7-20,9,14,87,9.7,24,0,0,0,0,0,0,0,0
0,2014,1,Home,CLE,W,27-30,5,6,116,23.2,41,1,0,0,0,0,0,0,0
1,2014,2,Away,BAL,L,6-26,7,12,90,12.9,27,0,2,10,5,9,0,0,0
2,2014,3,Away,CAR,W,37-19,10,10,90,9,30,2,0,0,0,0,0,0,0
3,2014,4,Home,TB,L,27-24,7,11,131,18.7,27,2,0,0,0,0,0,0,0
4,2014,5,Away,JAC,W,17-9,5,12,84,16.8,30,0,0,0,0,0,0,0,0
5,2014,6,Away,CLE,L,10-31,7,10,118,16.9,23,0,1,-2,-2,-2,0,0,0
6,2014,7,Home,HOU,W,23-30,9,13,90,10,30,0,0,0,0,0,0,0,0
7,2014,8,Home,IND,W,34-51,10,13,133,13.3,47,2,1,5,5,5,0,0,0
8,2014,9,Home,BAL,W,23-43,11,16,144,13.1,54,1,0,0,0,0,0,0,0
9,2014,10,Away,NYJ,L,13-20,8,9,74,9.3,15,0,0,0,0,0,0,2,2
