,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,PIT,T,21-21,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Away,NO,L,18-21,3,4,81,27,47,1,2,7,3.5,15,0,0,0
2,2018,3,Home,NYJ,W,17-21,4,11,20,5,10,0,0,0,0,0,0,0,0
3,2018,4,Away,OAK,L,42-45,3,9,54,18,59,0,0,0,0,0,0,0,0
4,2018,5,Home,BAL,W,9-12,3,5,22,7.3,9,0,0,0,0,0,0,0,0
5,2018,6,Home,LAC,L,38-14,2,7,9,4.5,9,0,0,0,0,0,0,0,0
6,2018,7,Away,TB,L,23-26,1,2,14,14,14,0,0,0,0,0,0,0,0
7,2018,8,Away,PIT,L,18-33,5,6,36,7.2,13,1,0,0,0,0,0,0,0
8,2018,9,Home,KC,L,37-21,3,5,51,17,38,0,0,0,0,0,0,0,0
9,2018,10,Home,ATL,W,16-28,2,2,39,19.5,25,0,0,0,0,0,0,0,0
10,2018,12,Away,CIN,W,35-20,4,5,62,15.5,21,1,0,0,0,0,0,0,0
11,2018,13,Away,HOU,L,13-29,3,6,84,28,71,0,0,0,0,0,0,1,1
12,2018,14,Home,CAR,W,20-26,1,1,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,DEN,W,17-16,5,7,35,7,12,1,0,0,0,0,0,0,0
14,2018,16,Home,CIN,W,18-26,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,BAL,L,24-26,4,7,79,19.8,38,1,0,0,0,0,0,0,0
0,2019,1,Home,TEN,L,43-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,NYJ,W,23-3,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,CLE,L,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,BAL,W,40-25,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,SF,L,3-31,0,3,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,SEA,L,32-28,2,4,22,11,12,0,0,0,0,0,0,0,0
6,2019,8,Away,NE,L,13-27,2,3,11,5.5,8,0,0,0,0,0,0,0,0
7,2019,9,Away,DEN,L,19-24,4,5,56,14,41,0,0,0,0,0,0,0,0
8,2019,10,Away,CLE,W,16-19,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,CLE,W,7-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,CLE,W,24-41,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,PIT,L,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,CLE,W,19-27,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,ARI,L,24-38,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,CLE,L,31-15,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,CIN,L,23-33,-,-,-,-,-,-,-,-,-,-,-,-,-
