,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,LAC,L,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,TEN,W,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,ATL,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,OAK,L,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,KC,W,19-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,7,Home,HOU,W,23-30,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Home,DEN,W,13-15,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Away,PIT,L,24-26,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,MIA,L,16-12,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,JAC,W,13-33,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,HOU,L,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,TEN,L,31-17,1,1,13,13,13,0,0,0,0,0,0,0,0
12,2019,14,Away,TB,L,35-38,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,NO,L,7-34,1,1,4,4,4,0,0,0,0,0,0,0,0
14,2019,16,Home,CAR,W,6-38,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,JAC,L,20-38,0,0,0,0,0,0,0,0,0,0,0,0,0
