,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,IND,W,34-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,BAL,W,23-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,CAR,L,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,ATL,W,37-36,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Home,MIA,W,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Home,PIT,L,28-21,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,KC,L,10-45,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Home,TB,W,34-37,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Home,NO,L,51-14,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,BAL,L,21-24,1,1,5,5,5,0,0,0,0,0,0,0,0
10,2018,12,Home,CLE,L,35-20,2,7,15,7.5,11,0,0,0,0,0,0,0,0
11,2018,13,Home,DEN,L,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,LAC,L,21-26,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,OAK,W,16-30,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,CLE,L,18-26,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,PIT,L,13-16,1,3,15,15,15,0,0,0,0,0,0,0,0
0,2019,1,Away,SEA,L,20-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,SF,L,41-17,1,2,6,6,6,0,0,0,0,0,0,0,0
2,2019,3,Away,BUF,L,17-21,6,10,88,14.7,32,0,0,0,0,0,0,1,1
3,2019,4,Away,PIT,L,3-27,4,6,50,12.5,23,0,0,0,0,0,0,0,0
4,2019,5,Home,ARI,L,26-23,3,6,26,8.7,15,1,0,0,0,0,0,0,0
5,2019,6,Away,BAL,L,17-23,5,11,91,18.2,29,0,0,0,0,0,0,0,0
6,2019,7,Home,JAC,L,27-17,3,6,65,21.7,33,0,0,0,0,0,0,0,0
7,2019,8,Away,LAR,L,10-24,5,13,65,13,27,0,0,0,0,0,0,0,0
8,2019,10,Home,BAL,L,49-13,3,6,36,12,15,0,0,0,0,0,0,0,0
9,2019,11,Away,OAK,L,10-17,4,6,56,14,20,0,0,0,0,0,0,0,0
10,2019,12,Home,PIT,L,16-10,1,3,10,10,10,0,0,0,0,0,0,0,0
11,2019,13,Home,NYJ,W,6-22,4,7,66,16.5,19,0,0,0,0,0,0,0,0
12,2019,14,Away,CLE,L,19-27,1,4,16,16,16,0,0,0,0,0,0,0,0
13,2019,15,Home,NE,L,34-13,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,MIA,L,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,CLE,W,23-33,-,-,-,-,-,-,-,-,-,-,-,-,-
