,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Home,BAL,W,13-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Away,KC,W,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,DET,W,24-12,4,4,50,12.5,13,0,0,0,0,0,0,0,0
3,2015,4,Home,MIN,W,20-23,1,1,11,11,11,0,0,0,0,0,0,0,0
4,2015,5,Away,OAK,W,16-10,2,2,46,23,41,0,0,0,0,0,0,0,0
5,2015,6,Away,CLE,W,26-23,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2015,8,Home,GB,W,10-29,2,2,21,10.5,15,0,0,0,0,0,0,0,0
7,2015,9,Away,IND,L,24-27,2,4,22,11,13,0,0,0,0,0,0,0,0
8,2015,10,Home,KC,L,29-13,1,3,17,17,17,0,0,0,0,0,0,0,0
9,2015,11,Away,CHI,W,17-15,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015,12,Home,NE,W,24-30,1,2,8,8,8,0,0,0,0,0,0,0,0
11,2015,13,Away,SD,W,17-3,0,2,0,0,0,0,0,0,0,0,0,0,0
12,2015,14,Home,OAK,L,15-12,1,1,12,12,12,0,0,0,0,0,0,0,0
13,2015,15,Away,PIT,L,27-34,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Home,CIN,W,17-20,1,1,13,13,13,0,0,0,0,0,0,0,0
15,2015,17,Home,SD,W,20-27,1,1,3,3,3,0,0,0,0,0,0,0,0
0,2016,1,Away,DEN,W,20-21,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,DEN,W,20-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,CIN,W,29-17,1,1,13,13,13,0,0,0,0,0,0,0,0
3,2016,4,Away,TB,W,27-7,0,3,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Home,ATL,L,23-16,2,2,13,6.5,7,0,0,0,0,0,0,0,0
5,2016,6,Away,SD,L,13-21,3,7,22,7.3,10,1,0,0,0,0,0,0,0
6,2016,7,Home,HOU,W,9-27,1,1,7,7,7,0,0,0,0,0,0,0,0
7,2016,8,Home,SD,W,19-27,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2016,9,Away,OAK,L,20-30,1,1,4,4,4,0,0,0,0,0,0,0,0
9,2016,10,Away,NO,W,25-23,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Home,KC,L,30-27,1,2,76,76,76,1,0,0,0,0,0,0,0
11,2016,13,Away,JAC,W,20-10,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,TEN,L,10-13,1,4,5,5,5,0,0,0,0,0,0,0,0
13,2016,15,Home,NE,L,16-3,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Away,KC,L,10-33,1,2,5,5,5,0,0,0,0,0,0,0,0
15,2016,17,Home,OAK,W,6-24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Home,LAC,W,21-24,3,4,21,7,10,2,0,0,0,0,0,0,0
1,2017,2,Home,DAL,W,17-42,1,3,8,8,8,0,0,0,0,0,0,0,0
2,2017,3,Away,BUF,L,16-26,4,7,55,13.8,20,0,0,0,0,0,0,0,0
3,2017,4,Home,OAK,W,10-16,2,2,35,17.5,18,0,0,0,0,0,0,0,0
4,2017,6,Home,NYG,L,23-10,3,8,21,7,9,0,0,0,0,0,0,0,0
5,2017,7,Away,LAC,L,0-21,5,5,45,9,13,0,0,0,0,0,0,0,0
6,2017,8,Away,KC,L,19-29,2,6,35,17.5,29,0,0,0,0,0,0,0,0
7,2017,9,Away,PHI,L,23-51,0,2,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Home,NE,L,41-16,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Home,CIN,L,20-17,1,1,18,18,18,0,0,0,0,0,0,0,0
10,2017,12,Away,OAK,L,14-21,3,4,33,11,22,1,0,0,0,0,0,0,0
11,2017,13,Away,MIA,L,9-35,1,4,23,23,23,0,0,0,0,0,0,0,0
12,2017,14,Home,NYJ,W,0-23,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,IND,W,25-13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,WAS,L,11-27,0,3,0,0,0,0,0,0,0,0,0,1,0
15,2017,17,Home,KC,L,27-24,4,6,56,14,22,0,0,0,0,0,0,0,0
0,2018,7,Away,ATL,W,20-23,1,1,11,11,11,0,0,0,0,0,0,0,0
1,2018,8,Home,WAS,W,20-13,4,7,48,12,21,0,0,0,0,0,0,0,0
2,2018,10,Away,SF,W,27-23,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2018,11,Home,TB,W,35-38,1,1,10,10,10,0,0,0,0,0,0,0,0
4,2018,12,Away,PHI,W,22-25,2,3,23,11.5,13,0,0,0,0,0,0,1,0
