,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,SF,W,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Away,GB,T,29-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,BUF,L,27-6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,LAR,L,31-38,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Away,PHI,W,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Home,ARI,W,17-27,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,NYJ,W,37-17,1,1,23,23,23,0,0,0,0,0,0,0,0
7,2018,8,Home,NO,L,30-20,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,9,Home,DET,W,9-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,CHI,L,20-25,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,GB,W,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,NE,L,10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,SEA,L,7-21,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,MIA,W,17-41,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,DET,W,27-9,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,CHI,L,24-10,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,LAR,L,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,TB,L,20-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,ARI,W,38-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,HOU,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,JAC,W,27-34,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,TB,W,37-26,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Away,SF,L,13-51,0,1,0,0,0,0,0,0,0,0,0,1,0
7,2019,9,Home,TEN,W,20-30,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,GB,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,ATL,L,29-3,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,NO,L,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,WAS,L,29-21,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,ATL,L,20-40,1,2,7,7,7,0,0,0,0,0,0,0,0
13,2019,15,Home,SEA,L,30-24,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,IND,L,6-38,1,1,3,3,3,0,0,0,0,0,0,0,0
15,2019,17,Home,NO,L,42-10,6,8,96,16,40,0,0,0,0,0,0,0,0
