,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,BUF,L,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,CLE,L,23-3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,NE,L,14-30,2,6,29,14.5,23,0,0,0,0,0,0,0,0
3,2019,5,Away,PHI,L,6-31,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,6,Home,DAL,W,22-24,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,7,Home,NE,L,33-0,1,1,1,1,1,0,0,0,0,0,0,1,1
6,2019,8,Away,JAC,L,15-29,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Away,MIA,L,18-26,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,NYG,W,27-34,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,WAS,W,34-17,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,OAK,W,3-34,1,1,69,69,69,0,0,0,0,0,0,0,0
11,2019,13,Away,CIN,L,6-22,1,2,5,5,5,0,0,0,0,0,0,0,0
12,2019,14,Home,MIA,W,21-22,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,BAL,L,21-42,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,PIT,W,10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,BUF,W,13-6,1,2,11,11,11,0,0,0,0,0,0,0,0
