,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Home,BUF,W,7-13,1,2,35,35,35,0,0,0,0,0,0,0,0
1,2016,2,Away,CLE,W,25-20,2,5,32,16,20,0,0,0,0,0,0,0,0
2,2016,3,Away,JAC,W,19-17,2,4,22,11,15,0,1,2,2,2,0,0,0
3,2016,4,Home,OAK,L,28-27,3,5,24,8,15,0,0,0,0,0,0,0,0
4,2016,5,Home,WAS,L,16-10,2,5,11,5.5,9,0,0,0,0,0,0,0,0
5,2016,6,Away,NYG,L,23-27,3,8,48,16,41,0,0,0,0,0,0,0,0
6,2016,7,Away,NYJ,L,16-24,1,5,11,11,11,0,0,0,0,0,0,0,0
7,2016,9,Home,PIT,W,14-21,3,4,33,11,16,0,0,0,0,0,0,0,0
8,2016,10,Home,CLE,W,7-28,3,4,64,21.3,27,1,0,0,0,0,0,0,0
9,2016,11,Away,DAL,L,17-27,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Home,CIN,W,14-19,1,3,14,14,14,1,0,0,0,0,0,0,0
11,2016,13,Home,MIA,W,6-38,2,3,59,29.5,53,1,0,0,0,0,0,0,0
12,2016,14,Away,NE,L,23-30,3,4,52,17.3,47,0,0,0,0,0,0,0,0
13,2016,15,Home,PHI,W,26-27,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Away,PIT,L,27-31,3,5,32,10.7,15,0,0,0,0,0,0,0,0
15,2016,17,Away,CIN,L,10-27,4,8,62,15.5,39,0,0,0,0,0,0,0,0
0,2017,1,Away,CIN,W,20-0,1,4,5,5,5,0,0,0,0,0,0,0,0
1,2017,2,Home,CLE,W,10-24,0,4,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,JAC,L,7-44,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,PIT,L,26-9,1,4,6,6,6,0,0,0,0,0,0,0,0
4,2017,5,Away,OAK,W,30-17,2,3,15,7.5,13,0,0,0,0,0,0,0,0
5,2017,6,Home,CHI,L,27-24,0,2,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Away,MIN,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
