,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,KC,L,40-26,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,HOU,L,12-13,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,TEN,W,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,DEN,W,26-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,CAR,L,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,NO,L,13-6,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Away,CIN,W,27-17,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Home,NYJ,W,15-29,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Home,HOU,L,26-3,1,3,23,23,23,0,0,0,0,0,0,0,0
9,2019,11,Away,IND,L,13-33,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,TEN,L,20-42,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,TB,L,28-11,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,LAC,L,45-10,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,OAK,W,20-16,1,1,8,8,8,0,0,0,0,0,0,0,0
14,2019,16,Away,ATL,L,12-24,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,IND,W,20-38,0,0,0,0,0,0,0,0,0,0,0,0,0
