,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,PHI,L,12-18,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,CAR,W,24-31,4,5,64,16,22,1,1,3,3,3,0,0,0
2,2018,3,Home,NO,L,43-37,7,8,146,20.9,75,3,1,9,9,9,0,0,0
3,2018,4,Home,CIN,L,37-36,4,6,54,13.5,30,2,1,1,1,1,0,0,0
4,2018,5,Away,PIT,L,17-41,4,5,38,9.5,21,0,0,0,0,0,0,0,0
5,2018,6,Home,TB,W,29-34,3,3,47,15.7,22,0,0,0,0,0,0,1,0
6,2018,7,Home,NYG,W,20-23,5,6,43,8.6,19,0,0,0,0,0,0,0,0
7,2018,9,Away,WAS,W,38-14,6,9,71,11.8,40,1,1,6,6,6,0,0,0
8,2018,10,Away,CLE,L,16-28,3,5,37,12.3,31,0,1,3,3,3,0,0,0
9,2018,11,Home,DAL,L,22-19,3,4,32,10.7,14,0,1,5,5,5,0,0,0
10,2018,12,Away,NO,L,17-31,8,13,93,11.6,50,1,0,0,0,0,0,1,1
11,2018,13,Home,BAL,L,26-16,3,5,22,7.3,10,0,0,0,0,0,0,0,0
12,2018,14,Away,GB,L,20-34,1,4,10,10,10,0,0,0,0,0,0,0,0
13,2018,15,Home,ARI,W,14-40,5,7,42,8.4,14,0,0,0,0,0,0,0,0
14,2018,16,Away,CAR,W,24-10,3,5,90,30,75,1,0,0,0,0,0,0,0
15,2018,17,Away,TB,W,34-32,5,5,32,6.4,12,1,0,0,0,0,0,0,0
0,2019,1,Away,MIN,L,12-28,4,6,64,16,20,1,0,0,0,0,0,0,0
1,2019,2,Home,PHI,W,20-24,8,10,105,13.1,34,1,0,0,0,0,0,0,0
2,2019,3,Away,IND,L,24-27,1,1,6,6,6,0,0,0,0,0,0,0,0
3,2019,4,Home,TEN,L,24-10,3,6,32,10.7,21,0,0,0,0,0,0,0,0
4,2019,5,Away,HOU,L,32-53,5,9,88,17.6,29,1,0,0,0,0,0,0,0
5,2019,6,Away,ARI,L,33-34,4,6,48,12,23,1,0,0,0,0,0,0,0
6,2019,7,Home,LAR,L,37-10,4,6,30,7.5,14,0,0,0,0,0,0,0,0
7,2019,8,Home,SEA,L,27-20,4,7,70,17.5,30,0,0,0,0,0,0,0,0
8,2019,10,Away,NO,W,26-9,3,5,28,9.3,15,0,1,19,19,19,0,0,0
9,2019,11,Away,CAR,W,29-3,8,8,143,17.9,36,1,0,0,0,0,0,0,0
10,2019,12,Home,TB,L,35-22,6,14,85,14.2,21,1,1,15,15,15,0,0,0
11,2019,13,Home,NO,L,26-18,8,10,91,11.4,18,0,0,0,0,0,0,0,0
12,2019,14,Home,CAR,W,20-40,5,5,76,15.2,18,1,0,0,0,0,0,0,0
13,2019,15,Away,SF,W,29-22,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,JAC,W,12-24,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,TB,W,28-22,-,-,-,-,-,-,-,-,-,-,-,-,-
