,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,ARI,W,24-6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,IND,L,21-9,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,GB,W,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,5,Away,NO,L,19-43,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,6,Home,CAR,W,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,7,Home,DAL,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Away,NYG,W,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Home,ATL,L,38-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,TB,W,16-3,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Home,HOU,L,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,DAL,L,23-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,PHI,L,13-28,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Home,NYG,L,40-16,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,JAC,W,16-13,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,TEN,L,16-25,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,PHI,L,24-0,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,PHI,L,27-32,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,DAL,L,31-21,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,CHI,L,31-15,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,NYG,L,3-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,NE,L,33-7,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,MIA,W,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,SF,L,9-0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,MIN,L,9-19,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Away,BUF,L,9-24,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,NYJ,L,34-17,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,DET,W,16-19,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,CAR,W,29-21,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,GB,L,15-20,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,PHI,L,37-27,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,NYG,L,41-35,1,1,15,15,15,0,0,0,0,0,0,0,0
15,2019,17,Away,DAL,L,16-47,1,2,12,12,12,0,0,0,0,0,0,0,0
