,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,IND,L,39-35,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,DEN,L,20-34,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Home,SD,W,22-26,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Away,JAC,L,27-30,2,3,39,19.5,23,0,0,0,0,0,0,1,0
4,2016,5,Home,CHI,W,23-29,3,6,24,8,19,0,0,0,0,0,0,0,0
5,2016,6,Away,HOU,L,23-26,4,4,63,15.8,36,0,0,0,0,0,0,0,0
6,2016,7,Away,TEN,W,34-26,2,3,30,15,21,0,0,0,0,0,0,0,0
7,2016,8,Away,IND,L,30-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,9,Away,GB,W,31-26,0,0,0,0,0,0,0,0,0,0,0,1,0
9,2016,11,Home,TEN,W,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Home,PIT,L,28-7,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Away,NYJ,W,41-10,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Home,HOU,L,22-17,1,2,21,21,21,0,0,0,0,0,0,0,0
13,2016,15,Away,MIN,W,34-6,3,5,24,8,9,0,0,0,0,0,0,0,0
14,2016,16,Away,OAK,L,25-33,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Home,JAC,W,20-24,4,7,72,18,21,0,0,0,0,0,0,0,0
0,2017,1,Away,LAR,L,9-46,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,IND,L,16-13,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,IND,W,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,SEA,L,18-46,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,IND,W,23-26,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,TEN,L,22-36,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,JAC,L,27-0,2,2,21,10.5,15,0,0,0,0,0,0,0,0
7,2017,8,Away,CIN,L,23-24,2,2,9,4.5,9,0,0,0,0,0,0,0,0
8,2017,9,Away,HOU,W,20-14,1,2,17,17,17,0,0,0,0,0,0,0,0
9,2017,10,Home,PIT,L,20-17,6,6,104,17.3,61,1,1,3,3,3,0,0,0
10,2017,12,Home,TEN,L,20-16,3,4,34,11.3,19,0,0,0,0,0,0,0,0
11,2017,13,Away,JAC,L,10-30,4,6,35,8.8,15,0,1,-2,-2,-2,0,0,0
12,2017,14,Away,BUF,L,7-13,2,4,6,3,6,0,0,0,0,0,0,0,0
13,2017,15,Home,DEN,L,25-13,0,3,0,0,0,0,1,7,7,7,0,0,0
14,2017,16,Away,BAL,L,16-23,1,4,19,19,19,0,0,0,0,0,0,0,0
15,2017,17,Home,HOU,W,13-22,2,4,39,19.5,22,0,0,0,0,0,0,0,0
0,2018,1,Home,CIN,L,34-23,3,3,18,6,8,0,0,0,0,0,0,0,0
1,2018,2,Away,WAS,W,21-9,3,3,17,5.7,6,0,0,0,0,0,0,0,0
2,2018,3,Away,PHI,L,16-20,2,4,14,7,8,0,0,0,0,0,0,0,0
3,2018,4,Home,HOU,L,37-34,8,11,85,10.6,22,0,0,0,0,0,0,0,0
