,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,HOU,W,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Home,DEN,L,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,GB,L,28-38,1,1,16,16,16,0,0,0,0,0,0,0,0
3,2015,4,Away,CIN,L,21-36,2,7,53,26.5,44,0,0,0,0,0,0,0,0
4,2015,5,Home,CHI,L,18-17,1,3,6,6,6,0,0,0,0,0,0,0,0
5,2015,6,Away,MIN,L,10-16,3,7,16,5.3,8,0,0,0,0,0,0,0,0
6,2015,7,Home,PIT,W,13-23,6,7,63,10.5,25,1,0,0,0,0,0,0,0
7,2015,8,Home,DET,W,10-45,1,1,6,6,6,0,0,0,0,0,0,0,0
8,2015,10,Away,DEN,W,29-13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,11,Away,SD,W,33-3,1,1,17,17,17,0,0,0,0,0,0,0,0
10,2015,12,Home,BUF,W,22-30,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2015,13,Away,OAK,W,34-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,14,Home,SD,W,3-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2015,15,Away,BAL,W,34-14,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Home,CLE,W,13-17,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2015,17,Home,OAK,W,17-23,2,3,22,11,16,0,0,0,0,0,0,0,0
0,2016,1,Home,SD,W,27-33,4,7,43,10.8,13,0,0,0,0,0,0,0,0
1,2016,2,Away,HOU,L,12-19,2,4,15,7.5,10,0,0,0,0,0,0,0,0
2,2016,3,Home,NYJ,W,3-24,3,5,44,14.7,20,0,0,0,0,0,0,0,0
3,2016,4,Away,PIT,L,14-43,6,7,70,11.7,17,0,0,0,0,0,0,0,0
4,2016,6,Away,OAK,W,26-10,3,4,26,8.7,13,0,0,0,0,0,0,0,0
5,2016,7,Home,NO,W,21-27,2,2,29,14.5,18,0,0,0,0,0,0,0,0
6,2016,8,Away,IND,W,30-14,3,5,59,19.7,33,0,0,0,0,0,0,0,0
7,2016,9,Home,JAC,W,14-19,3,4,28,9.3,12,0,0,0,0,0,0,0,0
8,2016,10,Away,CAR,W,20-17,1,3,12,12,12,0,0,0,0,0,0,0,0
9,2016,11,Home,TB,L,19-17,4,8,28,7,9,0,0,0,0,0,0,1,0
10,2016,12,Away,DEN,W,30-27,3,4,26,8.7,13,0,0,0,0,0,0,0,0
11,2016,13,Away,ATL,W,29-28,0,2,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Home,OAK,W,13-21,2,3,70,35,39,0,0,0,0,0,0,0,0
13,2016,15,Home,TEN,L,19-17,2,4,11,5.5,9,0,0,0,0,0,0,0,0
14,2016,16,Home,DEN,W,10-33,2,2,14,7,8,0,0,0,0,0,0,0,0
15,2016,17,Away,SD,W,37-27,4,5,55,13.8,17,0,0,0,0,0,0,0,0
0,2017,1,Away,NE,W,42-27,2,4,43,21.5,25,0,0,0,0,0,0,0,0
1,2017,2,Home,PHI,W,20-27,4,4,55,13.8,35,0,0,0,0,0,0,0,0
2,2017,3,Away,LAC,W,24-10,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,WAS,W,20-29,2,4,31,15.5,21,0,0,0,0,0,0,0,0
