,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,MIA,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Home,CHI,W,7-29,0,2,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,MIN,L,17-34,3,3,44,14.7,18,0,0,0,0,0,0,0,0
3,2017,4,Home,NYG,W,23-25,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Home,NE,L,19-14,1,2,8,8,8,0,0,0,0,0,0,0,0
5,2017,6,Away,ARI,L,33-38,1,1,9,9,9,0,0,0,0,0,0,0,0
6,2017,7,Away,BUF,L,27-30,1,1,5,5,5,0,0,0,0,0,0,0,0
7,2017,8,Home,CAR,L,17-3,1,2,8,8,8,0,0,0,0,0,0,0,0
8,2017,9,Away,NO,L,10-30,1,1,9,9,9,0,0,0,0,0,0,0,0
9,2017,10,Home,NYJ,W,10-15,5,10,68,13.6,20,0,0,0,0,0,0,0,0
10,2017,11,Away,MIA,W,30-20,2,2,38,19,24,0,0,0,0,0,0,0,0
11,2017,12,Away,ATL,L,20-34,1,2,17,17,17,0,0,0,0,0,0,0,0
12,2017,13,Away,GB,L,20-26,2,3,24,12,17,0,0,0,0,0,0,0,0
13,2017,14,Home,DET,L,24-21,5,6,68,13.6,19,0,0,0,0,0,0,0,0
14,2017,15,Home,ATL,L,24-21,1,2,18,18,18,0,0,0,0,0,0,0,0
15,2017,16,Away,CAR,L,19-22,3,6,98,32.7,70,0,0,0,0,0,0,0,0
16,2017,17,Home,NO,W,24-31,7,12,111,15.9,39,1,0,0,0,0,0,0,0
0,2018,1,Away,NO,W,48-40,3,4,41,13.7,16,1,0,0,0,0,0,1,0
1,2018,2,Home,PHI,W,21-27,5,6,56,11.2,17,1,0,0,0,0,0,0,0
2,2018,3,Home,PIT,L,30-27,5,10,74,14.8,20,1,0,0,0,0,0,1,1
3,2018,4,Away,CHI,L,10-48,2,2,22,11,11,0,0,0,0,0,0,0,0
4,2018,6,Away,ATL,L,29-34,6,9,56,9.3,14,1,0,0,0,0,0,0,0
5,2018,7,Home,CLE,W,23-26,5,6,59,11.8,23,0,0,0,0,0,0,0,0
6,2018,8,Away,CIN,L,34-37,2,7,32,16,20,0,0,0,0,0,0,0,0
7,2018,9,Away,CAR,L,28-42,2,3,40,20,25,0,0,0,0,0,0,0,0
8,2018,10,Home,WAS,L,16-3,7,7,103,14.7,20,0,0,0,0,0,0,1,0
9,2018,11,Away,NYG,L,35-38,3,3,50,16.7,19,0,0,0,0,0,0,0,0
10,2018,12,Home,SF,W,9-27,4,4,42,10.5,15,0,0,0,0,0,0,0,0
11,2018,13,Home,CAR,W,17-24,5,6,101,20.2,48,1,0,0,0,0,0,0,0
12,2018,14,Home,NO,L,28-14,1,10,13,13,13,0,0,0,0,0,0,1,0
13,2018,15,Away,BAL,L,12-20,0,3,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,DAL,L,20-27,3,6,39,13,20,0,0,0,0,0,0,0,0
15,2018,17,Home,ATL,L,34-32,6,9,114,19,30,2,0,0,0,0,0,0,0
0,2019,1,Home,SF,L,31-17,3,6,53,17.7,28,1,0,0,0,0,0,0,0
1,2019,2,Away,CAR,W,20-14,8,9,121,15.1,24,1,0,0,0,0,0,0,0
2,2019,3,Home,NYG,L,32-31,3,5,40,13.3,20,0,0,0,0,0,0,0,0
3,2019,4,Away,LAR,W,55-40,12,14,172,14.3,30,2,0,0,0,0,0,0,0
4,2019,5,Away,NO,L,24-31,7,9,125,17.9,26,2,0,0,0,0,0,0,0
5,2019,6,Home,CAR,L,37-26,10,12,151,15.1,26,0,0,0,0,0,0,0,0
6,2019,8,Away,TEN,L,23-27,4,8,43,10.8,12,0,0,0,0,0,0,0,0
7,2019,9,Away,SEA,L,34-40,7,9,61,8.7,18,0,1,8,8,8,0,0,0
8,2019,10,Home,ARI,W,27-30,6,12,74,12.3,49,0,0,0,0,0,0,0,0
9,2019,11,Home,NO,L,34-17,3,6,47,15.7,30,1,0,0,0,0,0,0,0
10,2019,12,Away,ATL,W,35-22,7,8,184,26.3,71,2,0,0,0,0,0,0,0
11,2019,13,Away,JAC,W,28-11,4,6,50,12.5,27,0,0,0,0,0,0,0,0
12,2019,14,Home,IND,W,35-38,7,9,91,13,28,0,0,0,0,0,0,0,0
13,2019,15,Away,DET,W,38-17,5,8,121,24.2,51,0,0,0,0,0,0,0,0
14,2019,16,Home,HOU,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,ATL,L,28-22,-,-,-,-,-,-,-,-,-,-,-,-,-
