,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,NE,L,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,2,Home,CAR,W,23-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,3,Away,NYJ,L,20-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013,4,Home,BAL,W,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013,5,Away,CLE,L,24-37,2,5,16,8,9,0,0,0,0,0,0,0,0
5,2013,6,Home,CIN,L,27-24,1,3,2,2,2,0,0,0,0,0,0,0,0
6,2013,7,Away,MIA,W,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013,8,Away,NO,L,17-35,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013,9,Home,KC,L,23-13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,10,Away,PIT,L,10-23,1,1,16,16,16,0,0,0,0,0,0,0,0
10,2013,11,Home,NYJ,W,14-37,3,4,29,9.7,12,0,0,0,0,0,0,0,0
11,2013,13,Home,ATL,L,34-31,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,14,Away,TB,L,6-27,1,1,12,12,12,0,0,0,0,0,0,0,0
13,2013,15,Away,JAC,W,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,16,Home,MIA,W,0-19,2,3,8,4,4,0,0,0,0,0,0,0,0
15,2013,17,Away,NE,L,20-34,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2014,1,Away,CHI,W,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Home,MIA,W,10-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Home,SD,L,22-10,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014,4,Away,HOU,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,5,Away,DET,W,17-14,2,2,27,13.5,21,0,0,0,0,0,0,0,0
5,2014,6,Home,NE,L,37-22,5,6,72,14.4,24,1,0,0,0,0,0,0,0
6,2014,7,Home,MIN,W,16-17,5,6,63,12.6,28,0,0,0,0,0,0,1,1
7,2014,8,Away,NYJ,W,43-23,1,1,14,14,14,0,0,0,0,0,0,0,0
8,2014,10,Home,KC,L,17-13,5,7,57,11.4,25,1,0,0,0,0,0,1,1
9,2014,11,Away,MIA,L,9-22,7,9,74,10.6,17,0,0,0,0,0,0,0,0
10,2014,12,Home,NYJ,W,3-38,2,3,5,2.5,3,0,0,0,0,0,0,0,0
11,2014,13,Home,CLE,W,10-26,2,4,8,4,5,1,0,0,0,0,0,0,0
12,2014,14,Away,DEN,L,17-24,7,9,54,7.7,14,1,0,0,0,0,0,0,0
13,2014,15,Home,GB,W,13-21,1,2,6,6,6,0,0,0,0,0,0,0,0
14,2014,16,Away,OAK,L,24-26,3,9,43,14.3,31,0,0,0,0,0,0,0,0
15,2014,17,Away,NE,W,17-9,1,3,3,3,3,0,0,0,0,0,0,0,0
0,2015,1,Home,IND,W,14-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Home,NE,L,40-32,1,1,11,11,11,0,0,0,0,0,0,0,0
2,2015,3,Away,MIA,W,41-14,3,4,42,14,38,1,0,0,0,0,0,0,0
3,2015,4,Home,NYG,L,24-10,5,5,43,8.6,13,0,0,0,0,0,0,0,0
4,2015,5,Away,TEN,W,14-13,3,3,52,17.3,46,1,0,0,0,0,0,0,0
5,2015,6,Home,CIN,L,34-21,2,5,31,15.5,23,0,0,0,0,0,0,0,0
6,2015,7,Away,JAC,L,31-34,6,11,56,9.3,14,0,0,0,0,0,0,0,0
7,2015,9,Home,MIA,W,17-33,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,10,Away,NYJ,W,22-17,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,11,Away,NE,L,13-20,6,7,95,15.8,42,0,0,0,0,0,0,0,0
10,2015,12,Away,KC,L,22-30,3,5,34,11.3,13,0,0,0,0,0,0,0,0
11,2015,13,Home,HOU,W,21-30,1,3,12,12,12,0,0,0,0,0,0,0,0
12,2015,14,Away,PHI,L,20-23,2,5,20,10,14,0,0,0,0,0,0,0,0
13,2015,15,Away,WAS,L,25-35,1,3,13,13,13,0,0,0,0,0,0,0,0
14,2015,16,Home,DAL,W,6-16,2,4,39,19.5,20,0,0,0,0,0,0,0,0
15,2015,17,Home,NYJ,W,17-22,1,3,2,2,2,0,1,4,4,4,0,0,0
0,2016,1,Away,ARI,W,23-21,3,4,60,20,37,1,0,0,0,0,0,0,0
1,2016,2,Home,MIA,W,24-31,4,6,59,14.8,24,0,0,0,0,0,0,0,0
2,2016,3,Home,HOU,W,0-27,1,3,3,3,3,0,0,0,0,0,0,0,0
3,2016,4,Home,BUF,L,16-0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Away,CLE,W,33-13,4,5,114,28.5,63,0,1,2,2,2,0,0,0
5,2016,6,Home,CIN,W,17-35,1,1,39,39,39,0,0,0,0,0,0,0,0
6,2016,7,Away,PIT,W,27-16,2,2,25,12.5,13,0,0,0,0,0,0,1,1
7,2016,8,Away,BUF,W,41-25,4,4,91,22.8,53,1,0,0,0,0,0,0,0
8,2016,10,Home,SEA,L,31-24,0,3,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Away,SF,W,30-17,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,NYJ,W,22-17,4,5,70,17.5,25,0,0,0,0,0,0,0,0
11,2016,13,Home,LAR,W,10-26,4,5,23,5.8,14,1,0,0,0,0,0,0,0
12,2016,14,Home,BAL,W,23-30,5,7,129,25.8,79,1,2,7,3.5,6,0,0,0
13,2016,15,Away,DEN,W,16-3,1,2,18,18,18,0,0,0,0,0,0,0,0
14,2016,16,Home,NYJ,W,3-41,1,5,22,22,22,0,0,0,0,0,0,0,0
15,2016,17,Away,MIA,W,35-14,4,4,27,6.8,13,0,0,0,0,0,0,0,0
0,2017,1,Home,KC,L,42-27,1,5,8,8,8,0,3,17,5.7,13,0,0,0
1,2017,2,Away,NO,W,36-20,5,6,78,15.6,27,1,0,0,0,0,0,0,0
2,2017,3,Home,HOU,W,33-36,4,6,68,17,47,2,0,0,0,0,0,0,0
3,2017,4,Home,CAR,L,33-30,5,9,60,12,26,1,0,0,0,0,0,0,0
4,2017,5,Away,TB,W,19-14,8,11,74,9.3,19,1,0,0,0,0,0,0,0
5,2017,6,Away,NYJ,W,24-17,1,4,19,19,19,0,0,0,0,0,0,0,0
6,2017,7,Home,ATL,W,7-23,4,6,71,17.8,30,0,0,0,0,0,0,0,0
7,2017,8,Home,LAC,W,13-21,5,7,60,12,19,0,0,0,0,0,0,0,0
8,2017,10,Away,DEN,W,41-16,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Away,OAK,W,33-8,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,NE,W,17-35,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,BUF,W,23-3,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,MIA,L,20-27,1,5,1,1,1,0,0,0,0,0,0,0,0
13,2017,15,Away,PIT,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,NE,W,16-37,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,NE,W,6-26,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Home,HOU,W,20-27,1,5,11,11,11,0,0,0,0,0,0,0,0
1,2018,2,Away,JAC,L,20-31,3,5,42,14,29,2,0,0,0,0,0,0,0
2,2018,3,Away,DET,L,10-26,3,4,31,10.3,16,0,0,0,0,0,0,0,0
3,2018,4,Home,MIA,W,7-38,1,1,25,25,25,0,0,0,0,0,0,0,0
4,2018,5,Home,IND,W,24-38,3,4,34,11.3,21,0,0,0,0,0,0,0,0
5,2018,6,Home,KC,W,40-43,4,4,78,19.5,42,0,0,0,0,0,0,0,0
6,2018,7,Away,CHI,W,38-31,6,7,63,10.5,20,0,0,0,0,0,0,0,0
7,2018,8,Away,BUF,W,25-6,2,2,49,24.5,29,0,0,0,0,0,0,0,0
8,2018,9,Home,GB,W,17-31,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2018,10,Away,TEN,L,10-34,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,NYJ,W,27-13,2,2,47,23.5,27,0,0,0,0,0,0,0,0
11,2018,13,Home,MIN,W,10-24,2,2,20,10,18,0,0,0,0,0,0,0,0
12,2018,14,Away,MIA,L,33-34,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,PIT,L,10-17,2,3,68,34,63,1,0,0,0,0,0,0,0
14,2018,16,Home,BUF,W,12-24,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,NYJ,W,3-38,6,11,64,10.7,20,0,0,0,0,0,0,0,0
0,2019,1,Home,LAR,L,30-27,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,TB,L,20-14,1,1,12,12,12,0,0,0,0,0,0,0,0
2,2019,3,Away,ARI,W,38-20,1,2,6,6,6,0,0,0,0,0,0,0,0
3,2019,4,Away,HOU,W,16-10,1,1,6,6,6,0,0,0,0,0,0,0,0
4,2019,5,Away,CAR,W,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,TB,W,37-26,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,SF,L,13-51,-,-,-,-,-,-,-,-,-,-,-,-,-
