,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,MIN,L,12-28,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,PHI,W,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,IND,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,TEN,L,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,HOU,L,32-53,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,ARI,L,33-34,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,LAR,L,37-10,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,SEA,L,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,NO,W,26-9,2,2,15,7.5,11,0,0,0,0,0,0,0,0
9,2019,11,Away,CAR,W,29-3,1,1,3,3,3,0,0,0,0,0,0,0,0
10,2019,12,Home,TB,L,35-22,2,9,16,8,9,0,0,0,0,0,0,0,0
11,2019,13,Home,NO,L,26-18,6,9,57,9.5,13,0,0,0,0,0,0,0,0
12,2019,14,Home,CAR,W,20-40,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,SF,W,29-22,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,JAC,W,12-24,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,TB,W,28-22,0,2,0,0,0,0,0,0,0,0,0,0,0
