,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,NYJ,W,23-22,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,PIT,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,CIN,L,29-17,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,CIN,W,7-22,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,DAL,L,14-28,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Away,NE,L,17-35,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,CIN,W,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,CIN,T,27-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,NYG,L,20-21,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Away,CIN,L,16-12,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,BAL,L,14-19,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Home,PHI,W,14-32,2,2,58,29,50,0,0,0,0,0,0,0,0
12,2016,14,Away,CLE,W,23-10,1,2,8,8,8,0,0,0,0,0,0,0,0
13,2016,15,Home,PIT,L,24-20,2,3,13,6.5,10,0,0,0,0,0,0,0,0
14,2016,16,Away,HOU,L,10-12,8,14,39,4.9,9,0,0,0,0,0,0,0,0
15,2016,17,Home,BAL,W,10-27,4,5,82,20.5,31,0,0,0,0,0,0,0,0
0,2017,1,Home,BAL,L,20-0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,HOU,L,13-9,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,GB,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,CLE,W,31-7,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Home,BUF,W,16-20,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,7,Away,PIT,L,14-29,0,2,0,0,0,0,0,0,0,0,0,0,0
6,2017,8,Away,CIN,W,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,JAC,L,7-23,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Away,TEN,L,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,DEN,W,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Home,CLE,W,16-30,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Home,PIT,L,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,CHI,L,33-7,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,MIN,L,7-34,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,CIN,W,17-26,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,BAL,W,31-27,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,IND,W,34-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,CIN,W,23-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,CAR,L,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,ATL,W,37-36,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,MIA,W,17-27,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Home,PIT,L,28-21,0,3,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,KC,L,10-45,3,3,30,10,18,0,0,0,0,0,0,0,0
7,2018,8,Home,TB,W,34-37,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Home,NO,L,51-14,2,2,17,8.5,11,0,0,0,0,0,0,0,0
