,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Home,IND,W,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Away,DEN,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,SEA,L,20-26,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,5,Away,DEN,W,20-41,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,6,Away,NYJ,W,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,7,Away,DEN,W,17-42,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,8,Home,SD,W,21-35,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,9,Away,NE,L,21-43,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014,10,Away,OAK,W,41-17,1,1,9,9,9,0,0,0,0,0,0,0,0
9,2014,11,Away,STL,L,7-22,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Home,MIA,W,36-39,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Away,KC,W,29-16,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Away,DEN,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,SD,W,22-10,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Away,CIN,L,28-37,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Home,OAK,W,14-47,1,2,14,14,14,0,0,0,0,0,0,0,0
0,2015,1,Home,BAL,W,13-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Away,KC,W,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,DET,W,24-12,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Home,MIN,W,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,5,Away,OAK,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,CLE,W,26-23,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2015,8,Home,GB,W,10-29,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,9,Away,IND,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,10,Home,KC,L,29-13,3,5,30,10,15,0,0,0,0,0,0,0,0
9,2015,11,Away,CHI,W,17-15,2,3,22,11,12,1,1,5,5,5,0,0,0
10,2015,12,Home,NE,W,24-30,1,1,7,7,7,0,0,0,0,0,0,0,0
11,2015,13,Away,SD,W,17-3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,14,Home,OAK,L,15-12,0,0,0,0,0,0,1,-4,-4,-4,0,0,0
13,2015,15,Away,PIT,L,27-34,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Away,DEN,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Home,SD,W,20-27,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2016,1,Home,CAR,W,20-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Home,IND,W,20-34,2,2,12,6,8,0,0,0,0,0,0,0,0
2,2016,3,Away,CIN,W,29-17,1,1,10,10,10,0,0,0,0,0,0,0,0
3,2016,4,Away,TB,W,27-7,0,2,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Home,ATL,L,23-16,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Away,SD,L,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,7,Away,DEN,W,9-27,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,DEN,W,19-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,9,Away,OAK,L,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,10,Away,NO,W,25-23,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Away,DEN,L,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,JAC,W,20-10,1,1,10,10,10,0,0,0,0,0,0,0,0
12,2016,14,Away,TEN,L,10-13,1,2,16,16,16,0,0,0,0,0,0,0,0
13,2016,15,Home,NE,L,16-3,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Away,KC,L,10-33,0,2,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Home,OAK,W,6-24,3,5,28,9.3,14,0,0,0,0,0,0,0,0
0,2017,1,Home,LAC,W,21-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,DAL,W,17-42,2,2,22,11,13,0,0,0,0,0,0,1,0
2,2017,3,Away,BUF,L,16-26,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,DEN,W,10-16,-,-,-,-,-,-,-,-,-,-,-,-,-
