,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,DAL,W,31-36,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,KC,L,16-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Home,STL,W,7-31,1,1,7,7,7,0,0,0,0,0,0,0,0
3,2013,4,Away,SD,L,21-30,3,3,16,5.3,6,0,0,0,0,0,0,0,0
4,2013,5,Home,DEN,L,51-48,4,4,47,11.8,23,1,0,0,0,0,0,0,0
5,2013,6,Home,WAS,W,16-31,4,5,44,11,14,0,0,0,0,0,0,0,0
6,2013,7,Away,PHI,W,17-3,6,7,53,8.8,14,0,0,0,0,0,0,0,0
7,2013,8,Away,DET,L,30-31,1,3,8,8,8,0,0,0,0,0,0,1,0
8,2013,9,Home,MIN,W,23-27,6,9,68,11.3,18,0,0,0,0,0,0,0,0
9,2013,10,Away,NO,L,17-49,1,4,18,18,18,0,0,0,0,0,0,0,0
10,2013,12,Away,NYG,W,24-21,2,4,13,6.5,13,0,0,0,0,0,0,0,0
11,2013,13,Home,OAK,W,24-31,3,3,19,6.3,9,0,0,0,0,0,0,0,0
12,2013,14,Away,CHI,L,28-45,2,3,20,10,11,1,0,0,0,0,0,0,0
13,2013,15,Home,GB,L,37-36,3,4,19,6.3,9,0,0,0,0,0,0,0,0
14,2013,16,Away,WAS,W,24-23,2,2,29,14.5,20,0,0,0,0,0,0,0,0
15,2013,17,Home,PHI,L,24-22,1,2,7,7,7,0,0,0,0,0,0,0,0
0,2014,1,Home,SF,L,28-17,4,5,42,10.5,13,0,0,0,0,0,0,0,0
1,2014,2,Away,TEN,W,26-10,1,1,10,10,10,0,0,0,0,0,0,0,0
2,2014,3,Away,STL,W,34-31,1,2,9,9,9,0,0,0,0,0,0,0,0
3,2014,4,Home,NO,W,17-38,2,2,14,7,10,0,0,0,0,0,0,0,0
4,2014,5,Home,HOU,W,17-20,4,4,23,5.8,8,0,0,0,0,0,0,0,0
5,2014,6,Away,SEA,W,30-23,1,2,11,11,11,0,0,0,0,0,0,0,0
6,2014,7,Home,NYG,W,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,8,Home,WAS,L,20-17,1,2,11,11,11,0,0,0,0,0,0,0,0
8,2014,9,Home,ARI,L,28-17,1,2,12,12,12,0,0,0,0,0,0,0,0
9,2014,10,Away,JAC,W,31-17,1,1,11,11,11,0,0,0,0,0,0,1,1
10,2014,12,Away,NYG,W,31-28,2,2,66,33,45,1,0,0,0,0,0,0,0
11,2014,13,Home,PHI,L,33-10,4,7,41,10.3,16,0,0,0,0,0,0,1,1
12,2014,14,Away,CHI,W,41-28,3,3,42,14,24,2,0,0,0,0,0,0,0
13,2014,15,Away,PHI,W,38-27,4,4,42,10.5,13,0,0,0,0,0,0,0,0
14,2014,16,Home,IND,W,7-42,2,3,29,14.5,24,1,0,0,0,0,0,0,0
15,2014,17,Away,WAS,W,44-17,6,9,57,9.5,19,0,0,0,0,0,0,0,0
0,2015,1,Home,NYG,W,26-27,4,6,49,12.3,16,0,0,0,0,0,0,1,1
1,2015,2,Away,PHI,W,20-10,4,5,14,3.5,9,0,0,0,0,0,0,0,0
2,2015,3,Home,ATL,L,39-28,4,4,49,12.3,20,0,0,0,0,0,0,0,0
3,2015,4,Away,NO,L,20-26,6,6,62,10.3,19,0,0,0,0,0,0,0,0
4,2015,5,Home,NE,L,30-6,4,6,40,10,21,0,0,0,0,0,0,0,0
5,2015,7,Away,NYG,L,20-27,0,2,0,0,0,0,0,0,0,0,0,1,1
6,2015,8,Home,SEA,L,13-12,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2015,9,Home,PHI,L,33-27,9,11,112,12.4,30,2,0,0,0,0,0,0,0
8,2015,10,Away,TB,L,6-10,1,1,8,8,8,0,0,0,0,0,0,0,0
9,2015,11,Away,MIA,W,24-14,1,3,14,14,14,0,0,0,0,0,0,0,0
10,2015,12,Home,CAR,L,33-14,6,7,44,7.3,17,1,0,0,0,0,0,0,0
11,2015,13,Away,WAS,W,19-16,0,3,0,0,0,0,0,0,0,0,0,0,0
12,2015,14,Away,GB,L,7-28,3,4,25,8.3,12,0,0,0,0,0,0,0,0
13,2015,15,Home,NYJ,L,19-16,3,7,37,12.3,23,0,0,0,0,0,0,0,0
14,2015,16,Away,BUF,L,6-16,2,2,29,14.5,25,0,0,0,0,0,0,0,0
15,2015,17,Home,WAS,L,34-23,5,7,53,10.6,22,2,0,0,0,0,0,0,0
0,2016,1,Home,NYG,L,20-19,8,12,65,8.1,15,0,0,0,0,0,0,0,0
1,2016,2,Away,WAS,W,27-23,5,6,75,15,28,0,0,0,0,0,0,0,0
2,2016,3,Home,CHI,W,17-31,7,7,73,10.4,29,0,0,0,0,0,0,0,0
3,2016,4,Away,SF,W,24-17,3,4,66,22,47,0,1,7,7,7,0,0,0
4,2016,5,Home,CIN,W,14-28,4,4,53,13.3,18,1,0,0,0,0,0,0,0
5,2016,6,Away,GB,W,30-16,6,6,58,9.7,19,2,0,0,0,0,0,0,0
6,2016,8,Home,PHI,W,23-29,4,7,53,13.3,24,0,0,0,0,0,0,0,0
7,2016,9,Away,CLE,W,35-10,6,6,56,9.3,18,1,0,0,0,0,0,0,0
8,2016,10,Away,PIT,W,35-30,5,9,33,6.6,10,0,0,0,0,0,0,0,0
9,2016,11,Home,BAL,W,17-27,5,6,59,11.8,17,1,0,0,0,0,0,0,0
10,2016,12,Home,WAS,W,26-31,5,6,56,11.2,18,0,0,0,0,0,0,0,0
11,2016,13,Away,MIN,W,17-15,2,4,23,11.5,13,0,0,0,0,0,0,0,0
12,2016,14,Away,NYG,L,7-10,4,7,41,10.3,18,0,0,0,0,0,0,0,0
13,2016,15,Home,TB,W,20-26,4,5,48,12,22,0,0,0,0,0,0,0,0
14,2016,16,Home,DET,W,21-42,4,5,25,6.3,12,0,0,0,0,0,0,0,0
15,2016,17,Away,PHI,L,13-27,3,4,49,16.3,33,0,0,0,0,0,0,0,0
0,2017,1,Home,NYG,W,3-19,3,5,32,10.7,13,0,0,0,0,0,0,0,0
1,2017,2,Away,DEN,L,17-42,4,8,33,8.3,10,0,0,0,0,0,0,0,0
2,2017,3,Away,ARI,W,28-17,1,1,4,4,4,0,0,0,0,0,0,0,0
3,2017,4,Home,LAR,L,35-30,3,6,17,5.7,12,0,0,0,0,0,0,0,0
4,2017,5,Home,GB,L,35-31,4,6,23,5.8,12,2,0,0,0,0,0,0,0
5,2017,7,Away,SF,W,40-10,1,2,24,24,24,0,0,0,0,0,0,0,0
6,2017,8,Away,WAS,W,33-19,2,3,8,4,4,0,0,0,0,0,0,0,0
7,2017,9,Home,KC,W,17-28,4,6,24,6,7,2,0,0,0,0,0,0,0
8,2017,10,Away,ATL,L,7-27,2,3,23,11.5,17,0,0,0,0,0,0,0,0
9,2017,11,Home,PHI,L,37-9,2,4,7,3.5,4,0,0,0,0,0,0,0,0
10,2017,12,Home,LAC,L,28-6,2,3,19,9.5,12,0,0,0,0,0,0,0,0
11,2017,13,Home,WAS,W,14-38,2,3,14,7,8,0,0,0,0,0,0,0,0
12,2017,14,Away,NYG,W,30-10,3,5,59,19.7,54,0,0,0,0,0,0,0,0
13,2017,15,Away,OAK,W,20-17,1,5,15,15,15,0,0,0,0,0,0,0,0
14,2017,16,Home,SEA,L,21-12,2,3,12,6,6,0,0,0,0,0,0,0,0
15,2017,17,Away,PHI,W,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,CAR,L,8-16,7,8,73,10.4,17,0,0,0,0,0,0,0,0
1,2018,2,Home,NYG,W,13-20,2,3,13,6.5,10,0,0,0,0,0,0,0,0
2,2018,3,Away,SEA,L,13-24,3,5,46,15.3,18,0,0,0,0,0,0,0,0
3,2018,4,Home,DET,W,24-26,4,5,53,13.3,19,0,0,0,0,0,0,0,0
4,2018,5,Away,HOU,L,16-19,1,3,8,8,8,0,0,0,0,0,0,0,0
5,2018,6,Home,JAC,W,7-40,9,11,101,11.2,21,2,0,0,0,0,0,0,0
6,2018,7,Away,WAS,L,17-20,7,8,56,8,18,0,0,0,0,0,0,0,0
7,2018,9,Home,TEN,L,28-14,3,4,16,5.3,6,0,0,0,0,0,0,0,0
8,2018,10,Away,PHI,W,27-20,4,5,37,9.3,21,0,0,0,0,0,0,0,0
9,2018,11,Away,ATL,W,22-19,5,7,51,10.2,19,0,0,0,0,0,0,0,0
10,2018,12,Home,WAS,W,23-31,1,2,5,5,5,0,0,0,0,0,0,0,0
11,2018,13,Home,NO,W,10-13,2,3,9,4.5,5,0,0,0,0,0,0,0,0
12,2018,14,Home,PHI,W,23-29,2,4,18,9,15,0,0,0,0,0,0,0,0
13,2018,15,Away,IND,L,0-23,4,7,42,10.5,14,0,0,0,0,0,0,0,0
14,2018,16,Home,TB,W,20-27,5,5,50,10,13,0,0,0,0,0,0,0,0
15,2018,17,Away,NYG,W,36-35,6,6,94,15.7,32,1,0,0,0,0,0,0,0
0,2019,1,Away,NYJ,W,17-16,5,9,40,8,10,0,0,0,0,0,0,0,0
1,2019,2,Away,NYG,W,28-14,4,4,83,20.8,51,0,0,0,0,0,0,0,0
2,2019,3,Home,CIN,W,17-21,8,10,48,6,10,0,0,0,0,0,0,0,0
3,2019,4,Home,NE,L,16-10,7,13,75,10.7,20,0,0,0,0,0,0,0,0
4,2019,5,Away,TEN,W,14-7,3,4,21,7,8,0,0,0,0,0,0,0,0
5,2019,7,Home,MIA,W,21-31,3,6,16,5.3,8,1,0,0,0,0,0,0,0
6,2019,8,Home,PHI,L,31-13,3,7,41,13.7,21,1,0,0,0,0,0,0,0
7,2019,9,Home,WAS,W,9-24,2,2,13,6.5,7,1,0,0,0,0,0,0,0
8,2019,10,Away,CLE,L,16-19,4,6,74,18.5,26,0,0,0,0,0,0,0,0
9,2019,11,Away,MIA,W,37-20,4,4,38,9.5,15,0,0,0,0,0,0,0,0
10,2019,12,Home,DEN,W,3-20,6,9,76,12.7,30,1,0,0,0,0,0,0,0
11,2019,13,Away,DAL,W,26-15,6,7,110,18.3,29,1,0,0,0,0,0,0,0
12,2019,14,Home,BAL,L,24-17,4,7,29,7.3,14,1,0,0,0,0,0,0,0
13,2019,15,Away,PIT,W,17-10,1,6,6,6,6,0,0,0,0,0,0,0,0
14,2019,16,Away,NE,L,17-24,7,12,108,15.4,28,0,0,0,0,0,0,0,0
15,2019,17,Home,NYJ,L,13-6,-,-,-,-,-,-,-,-,-,-,-,-,-
