,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,DET,L,24-34,1,1,10,10,10,0,0,0,0,0,0,0,0
1,2013,2,Away,CHI,L,30-31,2,2,14,7,14,0,0,0,0,0,0,0,0
2,2013,3,Home,CLE,L,31-27,2,4,49,24.5,37,0,1,0,0,0,0,0,0
3,2013,4,Home,PIT,W,27-34,1,2,9,9,9,0,0,0,0,0,0,0,0
4,2013,6,Home,CAR,L,35-10,2,2,3,1.5,5,0,0,0,0,0,0,0,0
5,2013,7,Away,NYG,L,7-23,3,6,22,7.3,15,0,1,2,2,2,0,0,0
6,2013,8,Home,GB,L,44-31,2,3,26,13,17,0,0,0,0,0,0,0,0
7,2013,9,Away,DAL,L,23-27,3,4,13,4.3,5,0,0,0,0,0,0,0,0
8,2013,10,Home,WAS,W,27-34,2,4,22,11,20,1,0,0,0,0,0,0,0
9,2013,11,Away,SEA,L,20-41,3,9,28,9.3,15,0,0,0,0,0,0,0,0
10,2013,12,Away,GB,T,26-26,8,11,54,6.8,21,0,0,0,0,0,0,0,0
11,2013,13,Home,CHI,W,20-23,1,4,4,4,4,0,2,27,13.5,33,1,0,0
12,2013,14,Away,BAL,L,26-29,5,7,141,28.2,79,1,1,6,6,6,0,0,0
13,2013,15,Home,PHI,W,30-48,5,6,35,7,11,1,2,15,7.5,12,0,0,0
14,2013,16,Away,CIN,L,14-42,3,7,8,2.7,11,0,3,54,18,35,1,0,0
15,2013,17,Home,DET,W,13-14,2,5,31,15.5,23,1,2,54,27,50,1,0,0
0,2014,1,Away,STL,W,34-6,3,5,26,8.7,13,0,3,102,34,67,1,0,0
1,2014,2,Home,NE,L,30-7,4,7,56,14,26,0,0,0,0,0,0,0,0
2,2014,3,Away,NO,L,9-20,4,5,61,15.3,28,0,1,-7,-7,-7,0,0,0
3,2014,4,Home,ATL,W,28-41,2,4,38,19,22,0,0,0,0,0,0,0,0
4,2014,5,Away,GB,L,10-42,2,4,8,4,6,0,0,0,0,0,0,0,0
5,2014,6,Home,DET,L,17-3,2,8,15,7.5,9,0,1,2,2,2,0,0,0
6,2014,7,Away,BUF,L,16-17,2,4,9,4.5,5,1,1,3,3,3,0,0,0
7,2014,8,Away,TB,W,19-13,6,12,86,14.3,28,0,1,10,10,10,0,0,0
8,2014,9,Home,WAS,W,26-29,1,7,9,9,9,0,0,0,0,0,0,0,0
9,2014,11,Away,CHI,L,13-21,2,3,24,12,17,0,1,3,3,3,0,0,0
10,2014,12,Home,GB,L,24-21,2,2,18,9,10,0,0,0,0,0,0,0,0
11,2014,13,Home,CAR,W,13-31,0,1,0,0,0,0,0,0,0,0,0,0,0
