,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Home,OAK,L,26-16,6,10,69,11.5,23,0,0,0,0,0,0,0,0
1,2017,2,Away,JAC,W,37-16,1,3,4,4,4,0,0,0,0,0,0,0,0
2,2017,3,Home,SEA,W,27-33,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,HOU,L,14-57,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,MIA,L,10-16,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Home,IND,W,22-36,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,CLE,W,12-9,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Home,BAL,W,20-23,2,5,28,14,23,0,0,0,0,0,0,0,0
8,2017,10,Home,CIN,W,20-24,4,10,48,12,19,0,0,0,0,0,0,1,1
9,2017,11,Away,PIT,L,17-40,3,7,27,9,15,0,0,0,0,0,0,0,0
10,2017,12,Away,IND,W,20-16,4,4,39,9.8,19,0,0,0,0,0,0,0,0
11,2017,13,Home,HOU,W,13-24,2,4,12,6,13,0,0,0,0,0,0,0,0
12,2017,14,Away,ARI,L,7-12,3,6,29,9.7,22,0,0,0,0,0,0,0,0
13,2017,15,Away,SF,L,23-25,3,5,28,9.3,13,0,0,0,0,0,0,0,0
14,2017,16,Home,LAR,L,27-23,6,9,91,15.2,37,0,0,0,0,0,0,0,0
15,2017,17,Home,JAC,W,10-15,0,2,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Away,MIA,L,20-27,6,13,62,10.3,18,0,0,0,0,0,0,0,0
1,2018,2,Home,HOU,W,17-20,5,7,55,11,18,0,0,0,0,0,0,1,0
2,2018,3,Away,JAC,W,9-6,2,4,34,17,22,0,0,0,0,0,0,0,0
3,2018,4,Home,PHI,W,23-26,9,15,161,17.9,51,1,0,0,0,0,0,0,0
4,2018,5,Away,BUF,L,12-13,4,6,49,12.3,23,0,0,0,0,0,0,0,0
5,2018,6,Home,BAL,L,21-0,1,4,24,24,24,0,0,0,0,0,0,0,0
6,2018,7,Away,LAC,L,19-20,3,7,10,3.3,5,0,0,0,0,0,0,0,0
7,2018,9,Away,DAL,W,28-14,6,10,56,9.3,17,0,1,4,4,4,0,0,0
8,2018,10,Home,NE,W,10-34,7,10,125,17.9,27,1,0,0,0,0,0,0,0
9,2018,11,Away,IND,L,10-38,2,4,30,15,23,0,1,-1,-1,-1,0,0,0
10,2018,12,Away,HOU,L,17-34,4,4,96,24,48,1,1,39,39,39,0,0,0
11,2018,13,Home,NYJ,W,22-26,3,7,42,14,22,1,1,12,12,12,0,0,0
12,2018,14,Home,JAC,W,9-30,2,3,21,10.5,13,0,1,0,0,0,0,0,0
13,2018,15,Away,NYG,W,17-0,3,6,33,11,17,0,0,0,0,0,0,0,0
14,2018,16,Home,WAS,W,16-25,3,5,45,15,16,0,1,1,1,1,0,0,0
15,2018,17,Home,IND,L,33-17,5,7,48,9.6,18,0,0,0,0,0,0,0,0
0,2019,1,Away,CLE,W,43-13,0,3,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,IND,L,19-17,3,5,38,12.7,25,0,0,0,0,0,0,0,0
2,2019,3,Away,JAC,L,7-20,3,4,44,14.7,19,0,0,0,0,0,0,1,0
3,2019,4,Away,ATL,W,24-10,5,6,91,18.2,23,1,0,0,0,0,0,0,0
4,2019,5,Home,BUF,L,14-7,2,4,28,14,23,0,0,0,0,0,0,0,0
5,2019,6,Away,DEN,L,0-16,3,5,36,12,18,0,0,0,0,0,0,0,0
6,2019,7,Home,LAC,W,20-23,6,7,80,13.3,38,1,0,0,0,0,0,0,0
7,2019,8,Home,TB,W,23-27,2,6,9,4.5,8,0,0,0,0,0,0,0,0
8,2019,9,Away,CAR,L,20-30,4,5,48,12,18,0,0,0,0,0,0,0,0
9,2019,10,Home,KC,W,32-35,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,JAC,W,20-42,2,3,29,14.5,24,0,0,0,0,0,0,0,0
11,2019,13,Away,IND,W,31-17,1,2,23,23,23,0,0,0,0,0,0,0,0
12,2019,14,Away,OAK,W,42-21,2,4,34,17,24,0,0,0,0,0,0,0,0
13,2019,15,Home,HOU,L,24-21,3,6,57,19,22,0,0,0,0,0,0,0,0
14,2019,16,Home,NO,L,38-28,3,4,40,13.3,22,0,0,0,0,0,0,0,0
15,2019,17,Away,HOU,W,35-14,4,5,44,11,16,0,0,0,0,0,0,0,0
