,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,SF,W,23-3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,BUF,W,3-9,2,3,7,3.5,8,0,0,0,0,0,0,0,0
2,2017,3,Home,NO,L,34-13,2,5,5,2.5,7,0,1,31,31,31,0,0,0
3,2017,4,Away,NE,W,33-30,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,DET,W,27-24,0,2,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Home,PHI,L,28-23,0,0,0,0,0,0,1,8,8,8,0,0,0
6,2017,7,Away,CHI,L,3-17,1,1,20,20,20,0,0,0,0,0,0,0,0
7,2017,8,Away,TB,W,17-3,2,3,15,7.5,9,0,1,11,11,11,0,0,0
8,2017,9,Home,ATL,W,17-20,3,5,23,7.7,12,0,1,14,14,14,0,0,0
9,2017,10,Home,MIA,W,21-45,5,7,45,9,23,0,0,0,0,0,0,0,0
10,2017,12,Away,NYJ,W,35-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,NO,L,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Home,MIN,W,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Home,GB,W,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Home,TB,W,19-22,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,ATL,L,10-22,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Home,DAL,W,8-16,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,ATL,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,CIN,W,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,5,Home,NYG,W,31-33,2,4,37,18.5,25,1,0,0,0,0,0,0,0
4,2018,6,Away,WAS,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,7,Away,PHI,W,21-17,1,1,16,16,16,0,2,9,4.5,14,1,0,0
6,2018,8,Home,BAL,W,21-36,3,3,28,9.3,11,0,0,0,0,0,0,0,0
7,2018,9,Home,TB,W,28-42,2,4,25,12.5,19,1,1,33,33,33,1,0,0
8,2018,10,Away,PIT,L,21-52,4,4,18,4.5,11,0,1,1,1,1,0,1,1
9,2018,11,Away,DET,L,19-20,5,7,55,11,17,1,0,0,0,0,0,0,0
10,2018,12,Home,SEA,L,30-27,2,2,17,8.5,10,1,1,25,25,25,0,0,0
11,2018,13,Away,TB,L,17-24,6,11,88,14.7,31,0,1,8,8,8,0,0,0
12,2018,14,Away,CLE,L,20-26,4,8,80,20,33,0,0,0,0,0,0,0,0
13,2018,15,Home,NO,L,12-9,1,4,17,17,17,0,2,8,4,6,0,0,0
14,2018,16,Home,ATL,L,24-10,7,13,41,5.9,9,0,0,0,0,0,0,0,0
15,2018,17,Away,NO,W,33-14,2,4,72,36,53,1,0,0,0,0,0,0,0
0,2019,1,Home,LAR,L,30-27,3,4,32,10.7,16,0,0,0,0,0,0,0,0
1,2019,2,Home,TB,L,20-14,5,13,91,18.2,44,0,1,2,2,2,0,0,0
2,2019,3,Away,ARI,W,38-20,5,7,53,10.6,15,1,0,0,0,0,0,0,0
3,2019,4,Away,HOU,W,16-10,3,7,32,10.7,12,0,1,1,1,1,0,0,0
4,2019,5,Home,JAC,W,27-34,3,6,19,6.3,7,0,2,25,12.5,16,0,0,0
5,2019,6,Away,TB,W,37-26,4,6,70,17.5,30,1,1,8,8,8,1,0,0
6,2019,8,Away,SF,L,13-51,4,11,46,11.5,20,0,0,0,0,0,0,0,0
7,2019,9,Home,TEN,W,20-30,3,6,64,21.3,32,1,1,10,10,10,0,0,0
8,2019,10,Away,GB,L,16-24,4,8,35,8.8,15,1,0,0,0,0,0,0,0
9,2019,11,Home,ATL,L,29-3,4,6,25,6.3,14,0,0,0,0,0,0,0,0
10,2019,12,Away,NO,L,31-34,1,4,9,9,9,0,4,40,10,13,0,0,0
11,2019,13,Home,WAS,L,29-21,4,7,65,16.3,33,1,0,0,0,0,0,0,0
12,2019,14,Away,ATL,L,20-40,2,4,25,12.5,13,0,3,17,5.7,13,0,0,0
13,2019,15,Home,SEA,L,30-24,5,7,31,6.2,12,1,4,23,5.8,7,0,0,0
14,2019,16,Away,IND,L,6-38,2,5,17,8.5,12,0,2,4,2,3,0,0,0
15,2019,17,Home,NO,L,42-10,2,4,13,6.5,11,0,0,0,0,0,0,0,0
