,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,DAL,W,8-16,0,0,0,0,0,0,1,3,3,3,0,0,0
1,2018,2,Away,ATL,L,24-31,1,2,51,51,51,1,1,7,7,7,0,0,0
2,2018,3,Home,CIN,W,21-31,1,2,3,3,3,0,0,0,0,0,0,0,0
3,2018,5,Home,NYG,W,31-33,4,4,49,12.3,20,0,1,18,18,18,0,0,0
4,2018,6,Away,WAS,L,17-23,4,5,59,14.8,18,0,1,18,18,18,0,2,2
5,2018,7,Away,PHI,W,21-17,3,5,29,9.7,16,0,0,0,0,0,0,0,0
6,2018,8,Home,BAL,W,21-36,5,6,90,18,33,0,2,39,19.5,28,0,0,0
7,2018,9,Home,TB,W,28-42,1,2,16,16,16,0,1,32,32,32,0,1,0
8,2018,10,Away,PIT,L,21-52,4,5,20,5,11,0,1,5,5,5,0,0,0
9,2018,11,Away,DET,L,19-20,7,8,157,22.4,82,1,0,0,0,0,0,0,0
10,2018,12,Home,SEA,L,30-27,8,9,91,11.4,28,0,1,7,7,7,0,0,0
11,2018,13,Away,TB,L,17-24,4,8,44,11,16,0,2,21,10.5,13,0,0,0
12,2018,14,Away,CLE,L,20-26,5,8,67,13.4,40,0,1,0,0,0,0,0,0
13,2018,15,Home,NO,L,12-9,2,3,12,6,7,0,1,22,22,22,0,1,1
14,2018,16,Home,ATL,L,24-10,2,7,19,9.5,15,0,0,0,0,0,0,0,0
15,2018,17,Away,NO,W,33-14,4,8,81,20.3,38,0,0,0,0,0,0,0,0
0,2019,1,Home,LAR,L,30-27,7,10,76,10.9,15,0,0,0,0,0,0,1,1
1,2019,2,Home,TB,L,20-14,9,14,89,9.9,18,0,0,0,0,0,0,0,0
2,2019,3,Away,ARI,W,38-20,1,2,52,52,52,1,1,12,12,12,0,0,0
3,2019,4,Away,HOU,W,16-10,3,5,44,14.7,16,0,0,0,0,0,0,0,0
4,2019,5,Home,JAC,W,27-34,6,8,91,15.2,52,0,0,0,0,0,0,0,0
5,2019,6,Away,TB,W,37-26,7,10,73,10.4,23,0,1,13,13,13,0,0,0
6,2019,8,Away,SF,L,13-51,5,9,38,7.6,10,0,0,0,0,0,0,0,0
7,2019,9,Home,TEN,W,20-30,7,10,101,14.4,32,0,0,0,0,0,0,0,0
8,2019,10,Away,GB,L,16-24,9,11,120,13.3,38,0,0,0,0,0,0,0,0
9,2019,11,Home,ATL,L,29-3,8,15,95,11.9,31,0,0,0,0,0,0,0,0
10,2019,12,Away,NO,L,31-34,6,9,126,21,52,2,1,8,8,8,0,0,0
11,2019,13,Home,WAS,L,29-21,6,12,75,12.5,21,1,1,-3,-3,-3,0,0,0
12,2019,14,Away,ATL,L,20-40,4,6,81,20.3,39,0,1,0,0,0,0,0,0
13,2019,15,Home,SEA,L,30-24,8,12,113,14.1,22,0,1,10,10,10,0,1,0
14,2019,16,Away,IND,L,6-38,1,2,1,1,1,0,0,0,0,0,0,0,0
15,2019,17,Home,NO,L,42-10,-,-,-,-,-,-,-,-,-,-,-,-,-
