,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,15,Home,DET,W,13-14,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,16,Away,NE,W,12-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,17,Home,MIA,W,17-42,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,DAL,L,17-35,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,BUF,L,28-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,TB,W,32-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,WAS,W,3-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,MIN,L,28-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,NE,L,14-35,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,ARI,L,27-21,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,DET,L,26-31,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Home,DAL,L,37-18,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Away,NYJ,L,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,CHI,L,14-19,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,GB,L,31-13,1,2,11,11,11,0,0,0,0,0,0,0,0
12,2019,14,Away,PHI,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,MIA,W,20-36,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,WAS,W,41-35,1,1,11,11,11,0,1,5,5,5,0,0,0
15,2019,17,Home,PHI,L,34-17,0,0,0,0,0,0,0,0,0,0,0,0,0
