,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,SEA,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,OAK,W,19-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Away,BAL,L,14-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,KC,L,27-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Away,NYJ,L,16-34,3,3,44,14.7,24,0,0,0,0,0,0,0,0
5,2018,6,Home,LAR,L,23-20,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,ARI,W,45-10,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,KC,L,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Home,HOU,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,LAC,W,23-22,1,2,4,4,4,0,0,0,0,0,0,0,0
10,2018,12,Home,PIT,W,17-24,1,2,13,13,13,0,0,0,0,0,0,0,0
11,2018,13,Away,CIN,W,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,SF,L,14-20,7,9,47,6.7,18,1,0,0,0,0,0,0,0
13,2018,15,Home,CLE,L,17-16,7,12,46,6.6,14,0,0,0,0,0,0,0,0
14,2018,16,Away,OAK,L,14-27,6,9,40,6.7,15,1,0,0,0,0,0,0,0
15,2018,17,Home,LAC,L,23-9,5,8,49,9.8,14,0,0,0,0,0,0,0,0
0,2019,1,Away,OAK,L,16-24,2,4,5,2.5,7,0,0,0,0,0,0,0,0
1,2019,2,Home,CHI,L,16-14,2,6,15,7.5,9,0,0,0,0,0,0,0,0
2,2019,3,Away,GB,L,16-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,JAC,L,26-24,3,5,57,19,28,0,0,0,0,0,0,0,0
4,2019,5,Away,LAC,W,20-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,TEN,W,0-16,2,2,25,12.5,13,0,0,0,0,0,0,0,0
6,2019,7,Home,KC,L,30-6,2,5,4,2,4,0,0,0,0,0,0,0,0
7,2019,8,Away,IND,L,13-15,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Home,CLE,W,19-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,MIN,L,23-27,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,BUF,L,3-20,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,LAC,W,20-23,2,3,12,6,7,0,0,0,0,0,0,0,0
12,2019,14,Away,HOU,W,38-24,2,4,36,18,27,0,0,0,0,0,0,0,0
13,2019,15,Away,KC,L,3-23,2,9,13,6.5,9,0,0,0,0,0,0,0,0
14,2019,16,Home,DET,W,17-27,6,6,65,10.8,20,1,0,0,0,0,0,0,0
15,2019,17,Home,OAK,W,15-16,5,6,65,13,17,0,0,0,0,0,0,0,0
