,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,DEN,L,20-21,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,CAR,W,27-46,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,CAR,L,22-10,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,ATL,L,33-48,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,CAR,L,17-14,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,NO,L,38-41,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,8,Away,CAR,W,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Away,LAR,W,13-10,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,CAR,L,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,CAR,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,OAK,L,32-35,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,SEA,L,7-40,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,CAR,W,16-28,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,WAS,W,26-15,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,CAR,L,33-16,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,TB,L,16-17,1,1,16,16,16,0,0,0,0,0,0,0,0
0,2017,1,Away,SF,W,23-3,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,BUF,W,3-9,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Home,NO,L,34-13,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,NE,W,33-30,0,1,0,0,0,0,1,12,12,12,0,0,0
4,2017,5,Away,DET,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,CAR,L,28-23,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,CHI,L,3-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,8,Away,TB,W,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,9,Away,CAR,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,10,Away,CAR,W,21-45,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,NYJ,W,35-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,NO,L,21-31,1,2,12,12,12,0,0,0,0,0,0,0,0
12,2017,14,Home,MIN,W,24-31,5,5,37,7.4,21,0,0,0,0,0,0,0,0
13,2017,15,Home,GB,W,24-31,3,4,25,8.3,13,2,0,0,0,0,0,0,0
14,2017,16,Home,TB,W,19-22,1,2,31,31,31,0,0,0,0,0,0,0,0
15,2017,17,Away,ATL,L,10-22,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Home,DAL,W,8-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Away,ATL,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,CAR,W,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,5,Home,NYG,W,31-33,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,6,Away,WAS,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,7,Away,PHI,W,21-17,1,1,8,8,8,0,0,0,0,0,0,0,0
6,2018,8,Home,BAL,W,21-36,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2018,9,Home,TB,W,28-42,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Away,PIT,L,21-52,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,DET,L,19-20,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,SEA,L,30-27,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,TB,L,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,CLE,L,20-26,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,CAR,L,12-9,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,CAR,L,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,NO,W,33-14,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Home,DET,T,27-27,4,7,42,10.5,19,0,0,0,0,0,0,0,0
1,2019,2,Away,BAL,L,17-23,6,7,45,7.5,13,0,0,0,0,0,0,0,0
2,2019,3,Home,CAR,L,38-20,2,4,9,4.5,11,0,0,0,0,0,0,0,0
3,2019,4,Away,ARI,L,27-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,CIN,W,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,ATL,W,33-34,2,2,60,30,58,0,0,0,0,0,0,0,0
6,2019,7,Away,NYG,W,27-21,1,2,4,4,4,0,0,0,0,0,0,0,0
7,2019,8,Away,NO,L,9-31,2,5,18,9,9,0,0,0,0,0,0,0,0
8,2019,9,Away,ARI,L,28-25,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Away,TB,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,11,Away,SF,L,26-36,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,LAR,L,34-7,0,3,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,PIT,L,23-17,1,1,10,10,10,0,0,0,0,0,0,0,0
13,2019,15,Home,CLE,W,24-38,6,6,86,14.3,51,0,0,0,0,0,0,0,0
