,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,BUF,W,23-21,10,14,104,10.4,24,0,0,0,0,0,0,0,0
1,2013,2,Away,NE,W,10-13,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,NE,W,3-23,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,ATL,W,30-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,CIN,L,6-13,4,9,55,13.8,21,0,0,0,0,0,0,0,0
5,2013,6,Home,NO,W,27-30,2,4,0,0,1,0,1,1,1,1,0,0,0
6,2013,7,Away,NYJ,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,8,Home,MIA,W,17-27,3,6,15,5,8,0,0,0,0,0,0,0,0
8,2013,9,Home,PIT,W,31-55,4,4,122,30.5,57,1,0,0,0,0,0,0,0
9,2013,11,Away,CAR,L,20-24,6,7,45,7.5,13,0,0,0,0,0,0,0,0
10,2013,12,Home,DEN,W,31-34,3,6,17,5.7,8,0,0,0,0,0,0,0,0
11,2013,13,Away,HOU,W,34-31,5,5,54,10.8,17,0,0,0,0,0,0,0,0
12,2013,14,Home,CLE,W,26-27,4,8,36,9,13,1,0,0,0,0,0,0,0
13,2013,15,Away,MIA,L,20-24,10,14,131,13.1,30,0,0,0,0,0,0,0,0
14,2013,16,Away,BAL,W,41-7,2,3,45,22.5,34,0,0,0,0,0,0,0,0
15,2013,17,Home,BUF,W,20-34,1,3,9,9,9,0,0,0,0,0,0,0,0
0,2014,1,Away,MIA,L,20-33,3,5,16,5.3,8,0,0,0,0,0,0,0,0
1,2014,2,Away,MIN,W,30-7,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Home,OAK,W,9-16,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2014,4,Away,KC,L,14-41,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,5,Home,CIN,W,17-43,1,1,7,7,7,0,0,0,0,0,0,0,0
5,2014,6,Away,BUF,W,37-22,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014,7,Home,NYJ,W,25-27,1,3,19,19,19,1,0,0,0,0,0,0,0
7,2014,8,Home,CHI,W,23-51,2,2,5,2.5,6,0,0,0,0,0,0,0,0
8,2014,9,Home,DEN,W,21-43,2,3,35,17.5,21,0,0,0,0,0,0,0,0
9,2014,11,Away,IND,W,42-20,2,2,13,6.5,9,0,0,0,0,0,0,0,0
10,2014,12,Home,DET,W,9-34,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Away,GB,L,21-26,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Away,SD,W,23-14,3,3,7,2.3,5,0,0,0,0,0,0,0,0
13,2014,15,Home,MIA,W,13-41,1,1,11,11,11,0,0,0,0,0,0,0,0
14,2014,16,Away,NYJ,W,17-16,8,11,63,7.9,12,0,0,0,0,0,0,0,0
15,2014,17,Home,BUF,L,17-9,4,7,24,6,12,0,0,0,0,0,0,0,0
0,2015,1,Home,PIT,W,21-28,2,3,24,12,18,0,0,0,0,0,0,0,0
1,2015,2,Away,BUF,W,40-32,1,2,29,29,29,0,1,3,3,3,0,0,0
2,2015,3,Home,JAC,W,17-51,5,5,39,7.8,12,1,0,0,0,0,0,0,0
3,2015,5,Away,DAL,W,30-6,2,3,6,3,4,0,0,0,0,0,0,0,0
4,2015,6,Away,IND,W,34-27,7,9,105,15,35,0,0,0,0,0,0,0,0
5,2015,7,Home,NYJ,W,23-30,8,9,86,10.8,23,1,0,0,0,0,0,0,0
6,2015,8,Home,MIA,W,7-36,1,1,11,11,11,0,0,0,0,0,0,0,0
7,2015,9,Home,WAS,W,10-27,4,5,24,6,11,0,1,8,8,8,0,0,0
8,2015,10,Away,NYG,W,27-26,10,11,79,7.9,12,0,0,0,0,0,0,0,0
9,2015,11,Home,BUF,W,13-20,9,12,117,13,41,0,0,0,0,0,0,0,0
10,2015,12,Away,DEN,L,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Home,PHI,L,35-28,7,13,62,8.9,14,1,0,0,0,0,0,0,0
12,2015,14,Away,HOU,W,27-6,6,8,46,7.7,10,0,0,0,0,0,0,0,0
13,2015,15,Home,TEN,W,16-33,1,2,3,3,3,0,0,0,0,0,0,1,1
