,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,MIN,L,16-24,2,5,61,30.5,39,1,0,0,0,0,0,1,0
1,2018,2,Home,DET,W,27-30,1,2,35,35,35,0,0,0,0,0,0,0,0
2,2018,3,Away,KC,L,27-38,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,LAC,L,27-29,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,ARI,L,28-18,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,GB,L,30-33,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,LAR,L,39-10,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Away,ARI,L,15-18,0,1,0,0,0,0,0,0,0,0,0,1,0
8,2018,9,Home,OAK,W,3-34,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,10,Home,NYG,L,27-23,4,6,12,3,8,0,0,0,0,0,0,0,0
10,2018,12,Away,TB,L,9-27,4,7,77,19.3,25,1,0,0,0,0,0,0,0
11,2018,13,Away,SEA,L,16-43,5,7,129,25.8,75,2,1,-2,-2,-2,0,0,0
12,2018,14,Home,DEN,W,14-20,3,7,49,16.3,31,1,0,0,0,0,0,0,0
13,2018,15,Home,SEA,W,23-26,5,5,83,16.6,30,0,0,0,0,0,0,0,0
14,2018,16,Home,CHI,L,14-9,3,5,21,7,13,0,0,0,0,0,0,0,0
15,2018,17,Away,LAR,L,32-48,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,TB,W,31-17,1,1,7,7,7,0,0,0,0,0,0,0,0
1,2019,2,Away,CIN,W,41-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,PIT,W,20-24,4,5,20,5,12,1,0,0,0,0,0,0,0
3,2019,5,Home,CLE,W,3-31,1,3,11,11,11,0,0,0,0,0,0,0,0
4,2019,6,Away,LAR,W,20-7,3,6,45,15,21,0,0,0,0,0,0,0,0
5,2019,7,Away,WAS,W,9-0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Home,CAR,W,13-51,1,3,5,5,5,0,0,0,0,0,0,0,0
7,2019,9,Away,ARI,W,28-25,1,1,21,21,21,1,0,0,0,0,0,0,0
8,2019,10,Home,SEA,L,27-24,0,3,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,ARI,W,26-36,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,GB,W,8-37,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,BAL,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,NO,W,48-46,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,ATL,L,29-22,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,LAR,W,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,SEA,W,26-21,-,-,-,-,-,-,-,-,-,-,-,-,-
