,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Away,SEA,L,16-36,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Home,NYJ,W,24-31,5,7,50,10,24,0,0,0,0,0,0,0,0
2,2014,3,Away,DET,L,7-19,2,3,11,5.5,9,0,0,0,0,0,0,0,0
3,2014,4,Away,CHI,W,38-17,2,3,18,9,15,0,0,0,0,0,0,0,0
4,2014,5,Home,MIN,W,10-42,1,4,11,11,11,1,0,0,0,0,0,0,0
5,2014,6,Away,MIA,W,27-24,6,8,77,12.8,24,0,0,0,0,0,0,0,0
6,2014,7,Home,CAR,W,17-38,1,1,21,21,21,1,0,0,0,0,0,0,0
7,2014,8,Away,NO,L,23-44,7,9,75,10.7,16,0,0,0,0,0,0,0,0
8,2014,10,Home,CHI,W,14-55,1,2,10,10,10,0,0,0,0,0,0,0,0
9,2014,11,Home,PHI,W,20-53,2,2,13,6.5,7,1,0,0,0,0,0,0,0
10,2014,12,Away,MIN,W,24-21,1,4,10,10,10,0,0,0,0,0,0,0,0
11,2014,13,Home,NE,W,21-26,6,11,121,20.2,45,0,0,0,0,0,0,0,0
12,2014,14,Home,ATL,W,37-43,1,4,6,6,6,0,0,0,0,0,0,0,0
13,2014,15,Away,BUF,L,13-21,1,4,6,6,6,0,0,0,0,0,0,0,0
14,2014,16,Away,TB,W,20-3,2,4,17,8.5,9,0,0,0,0,0,0,0,0
15,2014,17,Home,DET,W,20-30,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2015,1,Away,CHI,W,31-23,4,8,59,14.8,25,0,0,0,0,0,0,0,0
1,2015,2,Home,SEA,W,17-27,5,5,33,6.6,13,0,0,0,0,0,0,0,0
2,2015,3,Home,KC,W,28-38,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Away,SF,W,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Home,STL,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Home,SD,W,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,8,Away,DEN,L,10-29,1,2,8,8,8,0,0,0,0,0,0,0,0
7,2015,9,Away,CAR,L,29-37,7,11,93,13.3,40,0,0,0,0,0,0,0,0
8,2015,10,Home,DET,L,18-16,10,21,79,7.9,18,0,0,0,0,0,0,0,0
9,2015,11,Away,MIN,W,30-13,3,4,36,12,16,0,0,0,0,0,0,0,0
10,2015,12,Home,CHI,L,17-13,2,11,14,7,8,0,0,0,0,0,0,0,0
11,2015,13,Away,DET,W,27-23,4,7,21,5.3,8,1,0,0,0,0,0,0,0
12,2015,14,Home,DAL,W,7-28,2,3,12,6,8,0,0,0,0,0,0,0,0
13,2015,15,Away,OAK,W,30-20,5,8,32,6.4,8,0,0,0,0,0,0,0,0
14,2015,16,Away,ARI,L,8-38,3,6,42,14,38,0,0,0,0,0,0,0,0
15,2015,17,Home,MIN,L,20-13,4,6,54,13.5,24,0,0,0,0,0,0,0,0
0,2016,1,Away,JAC,W,27-23,3,7,50,16.7,29,1,0,0,0,0,0,0,0
1,2016,2,Away,MIN,L,14-17,3,7,26,8.7,13,0,0,0,0,0,0,1,1
2,2016,3,Home,DET,W,27-34,2,2,23,11.5,14,1,0,0,0,0,0,0,0
3,2016,5,Home,NYG,W,16-23,5,8,85,17,29,1,0,0,0,0,0,0,0
4,2016,6,Home,DAL,L,30-16,2,3,34,17,22,0,0,0,0,0,0,0,0
5,2016,7,Home,CHI,W,10-26,13,16,132,10.2,24,2,0,0,0,0,0,0,0
6,2016,8,Away,ATL,L,32-33,12,14,74,6.2,22,0,0,0,0,0,0,1,0
7,2016,9,Home,IND,L,31-26,4,8,41,10.3,40,1,0,0,0,0,0,0,0
8,2016,10,Away,TEN,L,25-47,6,9,156,26,46,0,0,0,0,0,0,0,0
9,2016,11,Away,WAS,L,24-42,3,6,42,14,37,0,0,0,0,0,0,0,0
10,2016,12,Away,PHI,W,27-13,5,6,113,22.6,50,2,0,0,0,0,0,0,0
11,2016,13,Home,HOU,W,13-21,1,7,17,17,17,0,0,0,0,0,0,0,0
12,2016,14,Home,SEA,W,10-38,4,6,104,26,66,1,0,0,0,0,0,0,0
13,2016,15,Away,CHI,W,30-27,2,6,25,12.5,19,0,0,0,0,0,0,0,0
14,2016,16,Home,MIN,W,25-38,4,7,44,11,20,1,0,0,0,0,0,0,0
15,2016,17,Away,DET,W,31-24,6,9,31,5.2,9,2,0,0,0,0,0,0,0
0,2017,1,Home,SEA,W,9-17,3,7,47,15.7,21,0,0,0,0,0,0,0,0
1,2017,2,Away,ATL,L,23-34,8,10,99,12.4,33,1,0,0,0,0,0,0,0
2,2017,3,Home,CIN,W,24-27,3,6,60,20,41,0,0,0,0,0,0,0,0
3,2017,4,Home,CHI,W,14-35,2,5,13,6.5,8,1,0,0,0,0,0,0,0
4,2017,5,Away,DAL,W,35-31,7,11,66,9.4,14,2,0,0,0,0,0,0,0
5,2017,6,Away,MIN,L,10-23,5,10,54,10.8,19,1,0,0,0,0,0,0,0
