,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,ATL,W,12-18,1,1,10,10,10,0,0,0,0,0,0,0,0
1,2018,2,Away,TB,W,21-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,4,Away,TEN,W,23-26,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,5,Home,MIN,W,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,6,Away,NYG,W,34-13,1,1,11,11,11,0,0,0,0,0,0,1,0
5,2018,7,Home,CAR,W,21-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,8,Away,JAC,W,24-18,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,11,Away,WAS,W,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,12,Home,TEN,W,17-34,1,1,14,14,14,0,0,0,0,0,0,1,0
9,2018,13,Home,CLE,W,13-29,6,6,32,5.3,11,0,0,0,0,0,0,2,0
10,2018,14,Home,IND,W,24-21,1,1,0,0,0,0,0,0,0,0,0,0,0
11,2018,15,Away,NYJ,W,29-22,2,3,55,27.5,50,0,1,7,7,7,0,0,0
12,2018,16,Away,PHI,W,30-32,6,7,61,10.2,24,0,0,0,0,0,0,0,0
13,2018,17,Home,JAC,W,3-20,4,5,33,8.3,12,0,0,0,0,0,0,1,1
0,2019,1,Away,NO,L,28-30,1,1,-1,-1,-1,0,0,0,0,0,0,0,0
1,2019,2,Home,JAC,W,12-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,LAC,W,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,CAR,L,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,ATL,W,32-53,0,0,0,0,0,0,0,0,0,0,0,1,1
5,2019,6,Away,KC,W,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,IND,L,23-30,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Home,OAK,W,24-27,1,3,46,46,46,0,0,0,0,0,0,0,0
8,2019,9,Away,JAC,W,26-3,1,1,8,8,8,0,0,0,0,0,0,0,0
9,2019,11,Away,BAL,L,7-41,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,IND,W,17-20,0,0,0,0,0,0,0,0,0,0,0,1,0
11,2019,13,Home,NE,W,22-28,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,DEN,L,38-24,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,TEN,W,24-21,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,TB,W,23-20,2,2,44,22,39,0,0,0,0,0,0,0,0
15,2019,17,Home,TEN,L,35-14,6,7,65,10.8,21,0,0,0,0,0,0,0,0
