,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,SD,W,31-28,5,6,66,13.2,30,0,0,0,0,0,0,0,0
1,2013,2,Home,TEN,W,24-30,7,13,117,16.7,28,1,0,0,0,0,0,0,0
2,2013,3,Away,BAL,L,9-30,6,7,60,10,18,0,0,0,0,0,0,0,0
3,2013,4,Home,SEA,L,23-20,2,3,27,13.5,16,0,0,0,0,0,0,0,0
4,2013,5,Away,SF,L,3-34,2,4,23,11.5,18,0,0,0,0,0,0,0,0
5,2013,6,Home,STL,L,38-13,3,5,47,15.7,22,0,0,0,0,0,0,1,1
6,2013,7,Away,KC,L,16-17,3,4,76,25.3,35,1,0,0,0,0,0,0,0
7,2013,9,Home,IND,L,27-24,3,6,54,18,31,0,0,0,0,0,0,0,0
8,2013,10,Away,ARI,L,24-27,6,11,69,11.5,22,0,0,0,0,0,0,0,0
9,2013,11,Home,OAK,L,28-23,1,2,7,7,7,0,0,0,0,0,0,0,0
10,2013,12,Home,JAC,L,13-6,1,4,8,8,8,0,0,0,0,0,0,0,0
11,2013,13,Home,NE,L,34-31,2,5,77,38.5,66,0,0,0,0,0,0,0,0
12,2013,14,Away,JAC,L,20-27,3,7,76,25.3,46,0,0,0,0,0,0,0,0
13,2013,15,Away,IND,L,3-25,3,5,52,17.3,39,0,0,0,0,0,0,0,0
14,2013,16,Home,DEN,L,37-13,1,4,8,8,8,0,0,0,0,0,0,0,0
15,2013,17,Away,TEN,L,10-16,4,5,35,8.8,19,0,0,0,0,0,0,0,0
0,2014,1,Home,WAS,W,6-17,4,5,89,22.3,76,1,0,0,0,0,0,0,0
1,2014,2,Away,OAK,W,30-14,3,5,22,7.3,12,1,0,0,0,0,0,0,0
2,2014,3,Away,NYG,L,17-30,6,9,116,19.3,49,0,0,0,0,0,0,0,0
3,2014,4,Home,BUF,W,17-23,5,6,64,12.8,35,1,0,0,0,0,0,0,0
4,2014,5,Away,DAL,L,17-20,6,6,63,10.5,19,0,0,0,0,0,0,0,0
5,2014,6,Home,IND,L,33-28,1,2,12,12,12,0,0,0,0,0,0,0,0
6,2014,7,Away,PIT,L,23-30,6,9,108,18,32,0,0,0,0,0,0,1,1
7,2014,8,Away,TEN,W,30-16,5,11,95,19,23,0,0,0,0,0,0,0,0
8,2014,9,Home,PHI,L,31-21,6,11,115,19.2,45,1,0,0,0,0,0,0,0
9,2014,11,Away,CLE,W,23-7,4,8,80,20,41,0,0,0,0,0,0,0,0
