,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,SF,W,3-20,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,PIT,L,18-43,2,2,18,9,10,0,0,0,0,0,0,0,0
2,2015,3,Away,ARI,L,7-47,0,0,0,0,0,0,0,0,0,0,0,1,0
3,2015,4,Away,SF,L,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,NYG,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Home,BAL,W,20-25,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,7,Away,SF,L,20-3,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,8,Away,STL,L,6-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,9,Home,ATL,W,16-17,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,11,Away,SEA,L,13-29,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,SF,L,19-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,CHI,W,26-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,CLE,L,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,SF,L,24-14,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,DET,L,17-32,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,SF,W,16-19,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,HOU,L,29-7,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,CIN,W,13-9,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,NE,L,33-36,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,HOU,W,14-57,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,HOU,L,42-34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,HOU,W,17-33,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Away,SEA,L,38-41,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,HOU,L,20-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,LAR,L,7-33,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Away,HOU,W,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,BAL,L,16-23,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,TEN,L,13-24,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Home,SF,L,26-16,1,6,24,24,24,0,0,0,0,0,0,1,0
13,2017,15,Away,JAC,L,7-45,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,HOU,L,34-6,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,IND,L,13-22,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Home,LAR,L,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,TB,L,20-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,ARI,W,38-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,HOU,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,JAC,W,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,TB,W,37-26,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,SF,L,13-51,1,1,8,8,8,0,0,0,0,0,0,0,0
7,2019,9,Home,TEN,W,20-30,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,GB,L,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,ATL,L,29-3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,NO,L,31-34,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,WAS,L,29-21,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,ATL,L,20-40,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,SEA,L,30-24,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,IND,L,6-38,1,3,12,12,12,0,0,0,0,0,0,0,0
15,2019,17,Home,NO,L,42-10,2,5,31,15.5,18,0,0,0,0,0,0,0,0
