,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,WAS,W,33-27,7,9,104,14.9,26,1,0,0,0,0,0,0,0
1,2013,2,Home,SD,L,33-30,9,15,193,21.4,61,1,0,0,0,0,0,0,0
2,2013,3,Home,KC,L,26-16,3,7,62,20.7,40,0,0,0,0,0,0,0,0
3,2013,4,Away,DEN,L,20-52,2,6,34,17,20,0,0,0,0,0,0,0,0
4,2013,5,Away,NYG,W,36-21,7,12,132,18.9,56,1,0,0,0,0,0,0,0
5,2013,6,Away,TB,W,31-20,6,6,64,10.7,36,2,0,0,0,0,0,0,0
6,2013,7,Home,DAL,L,17-3,3,8,21,7,16,0,0,0,0,0,0,0,0
7,2013,8,Home,NYG,L,15-7,8,11,63,7.9,13,0,0,0,0,0,0,1,0
8,2013,9,Away,OAK,W,49-20,5,6,150,30,59,1,0,0,0,0,0,0,0
9,2013,10,Away,GB,W,27-13,4,5,80,20,55,1,0,0,0,0,0,0,0
10,2013,11,Home,WAS,W,16-24,4,4,82,20.5,26,0,0,0,0,0,0,0,0
11,2013,13,Home,ARI,W,21-24,3,6,36,12,25,0,0,0,0,0,0,0,0
12,2013,14,Home,DET,W,20-34,4,6,59,14.8,19,1,1,-10,-10,-10,0,0,0
13,2013,15,Away,MIN,L,30-48,10,15,195,19.5,51,1,0,0,0,0,0,0,0
14,2013,16,Home,CHI,W,11-54,4,5,29,7.3,10,0,2,12,6,8,0,0,0
15,2013,17,Away,DAL,W,24-22,3,4,28,9.3,20,0,0,0,0,0,0,0,0
0,2014,1,Away,HOU,L,6-17,8,9,62,7.8,17,0,1,-9,-9,-9,0,0,0
1,2014,2,Home,JAC,W,10-41,1,2,19,19,19,0,0,0,0,0,0,0,0
2,2014,3,Away,PHI,L,34-37,5,11,117,23.4,81,1,0,0,0,0,0,0,0
3,2014,4,Home,NYG,L,45-14,1,4,9,9,9,0,0,0,0,0,0,0,0
4,2014,5,Home,SEA,L,27-17,5,11,157,31.4,60,1,0,0,0,0,0,0,0
5,2014,6,Away,ARI,L,20-30,3,5,115,38.3,64,1,1,5,5,5,0,0,0
6,2014,7,Home,TEN,W,17-19,3,5,49,16.3,37,0,0,0,0,0,0,0,0
7,2014,8,Away,DAL,W,20-17,6,7,136,22.7,49,0,0,0,0,0,0,0,0
8,2014,9,Away,MIN,L,26-29,4,7,120,30,56,1,0,0,0,0,0,0,0
9,2014,11,Home,TB,L,27-7,4,6,35,8.8,15,0,1,2,2,2,0,0,0
10,2014,12,Away,SF,L,13-17,2,5,39,19.5,32,0,0,0,0,0,0,0,0
11,2014,13,Away,IND,L,27-49,5,6,84,16.8,42,1,0,0,0,0,0,0,0
12,2014,14,Away,WAS,L,24-0,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,NYG,L,13-24,3,8,15,5,6,0,1,9,9,9,0,0,0
14,2014,16,Home,PHI,W,24-27,4,6,126,31.5,55,0,0,0,0,0,0,0,0
15,2014,17,Home,DAL,L,44-17,2,3,86,43,69,1,0,0,0,0,0,0,0
0,2015,1,Home,MIA,L,17-10,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Away,WAS,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,NYG,L,21-32,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,WAS,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,ATL,L,19-25,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,NYJ,L,20-34,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Away,WAS,W,30-31,-,-,-,-,-,-,-,-,-,-,-,-,-
