,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,WAS,W,17-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Away,JAC,L,20-23,1,1,3,3,3,0,0,0,0,0,0,0,0
2,2015,3,Home,BUF,L,41-14,3,7,46,15.3,19,0,0,0,0,0,0,0,0
3,2015,4,Home,NYJ,L,27-14,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,6,Away,TEN,W,38-10,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,7,Home,HOU,W,26-44,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,8,Away,NE,L,7-36,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,9,Away,BUF,L,17-33,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,10,Away,PHI,W,20-19,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Home,DAL,L,24-14,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015,12,Away,NYJ,L,20-38,4,10,80,20,33,1,0,0,0,0,0,0,0
11,2015,13,Home,BAL,W,13-15,3,5,63,21,38,1,0,0,0,0,0,0,0
12,2015,14,Home,NYG,L,31-24,2,5,16,8,14,0,0,0,0,0,0,0,0
13,2015,15,Away,SD,L,14-30,4,6,87,21.8,35,0,0,0,0,0,0,0,0
14,2015,16,Home,IND,L,18-12,4,10,93,23.3,49,0,0,0,0,0,0,0,0
15,2015,17,Home,NE,W,10-20,5,6,106,21.2,46,1,0,0,0,0,0,0,0
0,2016,1,Away,SEA,L,10-12,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,NE,L,24-31,8,13,106,13.3,28,0,0,0,0,0,0,0,0
2,2016,3,Home,CLE,W,24-30,3,6,51,17,26,1,0,0,0,0,0,0,0
3,2016,4,Away,CIN,L,7-22,2,3,20,10,15,0,0,0,0,0,0,0,0
4,2016,5,Home,TEN,L,30-17,2,3,70,35,50,0,0,0,0,0,0,0,0
5,2016,6,Home,PIT,W,15-30,5,7,28,5.6,11,0,0,0,0,0,0,0,0
6,2016,7,Home,BUF,W,25-28,3,4,20,6.7,9,0,0,0,0,0,0,0,0
7,2016,9,Home,NYJ,W,23-27,2,4,8,4,4,0,0,0,0,0,0,0,0
8,2016,10,Away,SD,W,31-24,5,8,103,20.6,56,0,0,0,0,0,0,0,0
9,2016,11,Away,LAR,W,14-10,8,10,79,9.9,15,1,0,0,0,0,0,0,0
10,2016,12,Home,SF,W,24-31,3,6,64,21.3,46,0,0,0,0,0,0,0,0
11,2016,13,Away,BAL,L,6-38,3,4,34,11.3,17,1,0,0,0,0,0,0,0
12,2016,14,Home,ARI,W,23-26,2,3,14,7,11,0,0,0,0,0,0,0,0
13,2016,15,Away,NYJ,W,34-13,1,3,17,17,17,0,0,0,0,0,0,0,0
14,2016,16,Away,BUF,W,34-31,4,7,85,21.3,56,1,0,0,0,0,0,0,0
15,2016,17,Home,NE,L,35-14,5,6,45,9,18,0,0,0,0,0,0,0,0
